BGM#,SD Label,Game Title,Track Title,Console,Track Type,Location,Composers,Platform,Year of Release,Youtube URL
623,Best VGM 623,Super Mario Land 2,Athletic,GBC,LEVEL,Kingdom Stages,Kazumi Totaka,Game Boy,1992,https://youtu.be/erC52RPAkcw
624,Best VGM 624,Nostalgia,Tokyo,DS,LEVEL,Tokyo,Shinichiro Sato & Rei Kondoh,DS,2009,https://youtu.be/qfkdL0eRbW0
625,Best VGM 625,Wild Arms,Migrant Bird Of The Wilderness,PS1,THEME,Rudy Roughknight,Michiko Naruke,PS1,1997,https://youtu.be/DyyC_X4OlG0
626,Best VGM 626,Romancing SaGa: Minstrel Song,Minuet,PS2,SCENE,Opening,Masayoshi Yamazaki,PS2,2005,https://youtu.be/psiPvGoo1hI
627,Best VGM 627,Final Fantasy VIII,The Man With The Machine Gun,PS1,THEME,Laguna Loire,Nobuo Uematsu,PS1,1999,https://youtu.be/kWhAlYZQyR0
628,Best VGM 628,Ace Combat 6: Fires of Liberation,The Liberation Of Gracemeria,X360,LEVEL,Mission 13: The Liberation Of Gracemeria,Keiki Kobayashi,X360,2007,https://youtu.be/ZyQXGJIRiGo
629,Best VGM 629,F-Zero,Mute City,SNES,LEVEL,Mute City Circuits,"Naoto Ishida, Yukio Kaneoka & Yumiko Kanki",SNES,1991,https://youtu.be/4t1VMgm75OY
630,Best VGM 630,Super Adventure Island,Essential Vitamins,SNES,LEVEL,Underwater Stages,Yuzo Koshiro,SNES,1992,https://youtu.be/pLJiJyim0u0
631,Best VGM 631,Trine,Fangle Forest,PS3,LEVEL,Fangle Forest,Ari Pulkkinen,PC / PS3,2009,https://youtu.be/oxh-W5PXXfc
632,Best VGM 632,Balloon Fight,Balloon Trip,NES,PLAY,Balloon Trip (Bonus Game),Hirokazu Tanaka,NES,1986,https://youtu.be/laCuPE2dROs
633,Best VGM 633,Mother 3,Hippos,GBA,LEVEL,Empire Porky Building ~ Hippo Launcher Room,Shogo Sakai,GBA,2006,https://youtu.be/_lRCQ7HMk8c
634,Best VGM 634,Mana Khemia: Alchemists of Al-Revis,Nefertiti,PS2,BOSS,Isolde,Ken Nakagawa & Daisuke Achiwa,PS2,2008,https://youtu.be/xHinZ07LiMQ
635,Best VGM 635,The Legend of Zelda: Ocarina of Time,Deep Shrine,N64,LEVEL,Deep Shrine (Water Temple),Koji Kondo,N64 / 3DS,1998,https://youtu.be/MOmx0QNrRNA
636,Best VGM 636,Phantasy Star Portable 2,Fly To Universe,PSP,SCENE,Emilia's True Ending ~ Epilogue (Post-Credits),Hideaki Kobayashi,PSP,2010,https://youtu.be/V3Za43V1C5Q
637,Best VGM 637,Emil Chronicle,Under The Pressure,PC,LEVEL,A Dungeon Theme (I don't know which one though),ACE,PC,2009,https://youtu.be/qEI9YcW1jEI
638,Best VGM 638,Bomberman Quest,Field Zone,GBC,LEVEL,Field Zone,Jun Chikuma,Game Boy Color,1999,https://youtu.be/otx-Fq_DdRU
639,Best VGM 639,Secret of Mana,Distant Thunder,SNES,LEVEL,Field (Overworld),Hiroki Kikuta,SNES,1993,https://youtu.be/KZrKE47pD_E
640,Best VGM 640,Enthusia Professional Racing,AWAKENING (Nürburgring Suite),PS2,LEVEL,Nurburgring Nordschleife (Final Level),Masanori Akita,PS2,2005,https://youtu.be/qNb-kP6QA8E
641,Best VGM 641,Mario & Luigi: Bowser's Inside Story,We Have Fury!,DS,BOSS,FINAL BOSS ~ Dark Bowser,Yoko Shimomura,DS,2009,https://youtu.be/i9gix8JtuEI
642,Best VGM 642,Journey to Silius,Headquarters,NES,LEVEL,Stage 3: Headquarters,Naoki Kodaka,NES,1990,https://youtu.be/CvGFSpuJ26U
643,Best VGM 643,No More Heroes 2: Desperate Struggle,Philistine,WII,BOSS,Margaret Moonlight,MARU & Nadia Gifford,Wii,2010,https://youtu.be/8YyFSQTa7FU
644,Best VGM 644,Dragon Quest III: Seeds of Salvation,Heavenly Flight,SNES,MENU,World Map ~ Flying,Koichi Sugiyama,SNES,1996,https://youtu.be/xdX24O83jRU
645,Best VGM 645,Ragnarok Online,Geffen,PC,LEVEL,Geffen City,soundTeMP,PC,2002,https://youtu.be/mWyFyE6eR8Y
646,Best VGM 646,Asterix and the Solo Rescue,Egypt,NES,LEVEL,World 3: Egypt,Alberto Jose Gonzalez,NES,1993,https://youtu.be/sP3JrwGzyPU
647,Best VGM 647,Disgaea: Hour of Darkness,Running Fire,PS2,LEVEL,Episode 2: Frozen River,Tenpei Sato,PS2,2003,https://youtu.be/QYaXyT1qNaw
648,Best VGM 648,Suikoden III,Bine Del Zecks,PS2,LEVEL,Vinay Del Zexay,Michiru Yamane,PS2,2002,https://youtu.be/skKUFVRcsBI
649,Best VGM 649,Super Mario Bros. 3,Kingdom,NES,LEVEL,Kingdom Stages,Koji Kondo,NES,1990,https://youtu.be/eS2zXScG0m8
650,Best VGM 650,Kirby's Crystal Shards,Factory Investigation,N64,LEVEL,World 5: Shiver Star ~ Stage 4,Jun Ishikawa & Hirokazu Ando,N64,2000,https://youtu.be/KTZd6ygBi-Y
651,Best VGM 651,Tsugunai,Early Afternoon In The Village,PS2,LEVEL,Walondia ~ Day,Yasunori Mitsuda,PS2,2001,https://youtu.be/m9aiXRsis7k
652,Best VGM 652,Mega Man 11,Abandoned Memory,8TH,LEVEL,Wily's Castle (Wily's Stage 1 & 2),Hiroki Isogai & Ippo Yamada,Wii / X360 / PS3,2010,https://youtu.be/QMb68ApLvUI
653,Best VGM 653,Final Fantasy XIV,Nail Of The Heavens,PC,PLAY,Masked Carnivale ~ Enemy Battles,Nobuo Uematsu,PC,2010,https://youtu.be/WfcYRqKQM0g
654,Best VGM 654,Arcana,Second Armageddon,SNES,BOSS,FINAL BOSS ~ Rimsala (2nd Phase),Jun Ishikawa,SNES,1992,https://youtu.be/wHD8AQoUGPU
655,Best VGM 655,Pokémon Colosseum 2,Miror B. Battle!,GC,BOSS,Miror B.,Tsukasa Tawada,GameCube,2005,https://youtu.be/59Iu4V3s4AE
656,Best VGM 656,F-Zero GX,Iron Tiger,GC,THEME,Baba,Daiki Kasho,GameCube,2003,https://youtu.be/7IRM4-LRUbI
657,Best VGM 657,Terranigma,Evergreen Forest,SNES,LEVEL,Evergreen Forest,Miyoko Kobayashi,SNES,1996,https://youtu.be/L-jaIYtnZl4
658,Best VGM 658,Metal Gear 2: Solid Snake,Solid Snake,MSX,THEME,Solid Snake,Masahiro Ikariko,MSX,1990,https://youtu.be/OQIIRVaXW-s
659,Best VGM 659,Crystal Chronicles: The Crystal Bearers,Subterranean Ruins,WII,LEVEL,Subterranean Ruins,Ryo Yamazaki,Wii,2009,https://youtu.be/1r5Ck0h7QG4
660,Best VGM 660,Skyblazer,Lair Of Kharyon,SNES,LEVEL,Stage 9: Lair Of Kharyon,Harumi Fujita,SNES,1994,https://youtu.be/UFVy50yPBMU
661,Best VGM 661,Castlevania: Portrait of Ruin,In Search Of The Secret Spell,DS,LEVEL,Forgotten City B,Michiru Yamane,DS,2006,https://youtu.be/Rh6cl2GtOkI
662,Best VGM 662,Kingdom Hearts II,Darkness Of The Unknown,PS2,BOSS,FINAL BOSS ~ World of Nothingness,Yoko Shimomura,PS2,2006,https://youtu.be/X4ir-Pijr6A
663,Best VGM 663,Sonic Rush,Wrapped In Black,DS,BOSS,FINAL BOSS ~ BREAK Salamander,Hideki Naganuma,DS,2005,https://youtu.be/m2TeQAN0dQo
664,Best VGM 664,Crystalis,Wild Fields,NES,LEVEL,Overworld,Yoko O.,NES,1990,https://youtu.be/NYgUDikS1Hg
665,Best VGM 665,Metroid Hunters,"Main World, Arcterra",DS,LEVEL,Arcterra ~ Main World Sector,"Lawrence Schwedler, James Phillipsen & Kenji Yamamoto",DS,2006,https://youtu.be/q3J9U__xdW8
666,Best VGM 666,Doom,At Doom's Gate,PC,LEVEL,E1M1,Robert Prince,PC / 3DO / SNES / Etc.,1993,https://youtu.be/YcFt05iPI1o
667,Best VGM 667,JESUS: The Dreadful Bio-Monster,Main Theme,MSX,THEME,Main Theme,Koichi Sugiyama,NES,1989,https://youtu.be/Uwu_k2_6uCs
668,Best VGM 668,Wild Arms 2,Town Where The West Wind Blows,PS1,LEVEL,Meria Village,Michiko Naruke,PS1,2000,https://youtu.be/Aka4RTh7jqk
669,Best VGM 669,Panzer Dragoon Saga,Sona Mi Areru Ec Sancitu,SAT,SCENE,Staff Credits,Saori Kobayashi & Mariko Nanba,Saturn,1998,https://youtu.be/NjVXyz-IumY
670,Best VGM 670,Earthbound,Onett,SNES,LEVEL,Onett,Keiichi Suzuki,SNES,1995,https://youtu.be/hf14h4vKS9s
671,Best VGM 671,Shin Megami Tensei: Last Bible III,Polisian States,SNES,MENU,World Map,Hiroyuki Yanada,SNES,1995,https://youtu.be/mlRwMf91Vzs
672,Best VGM 672,The Neverhood,Klaymen's Theme,PC,THEME,Klaymen,Terry S. Taylor,PC,1996,https://youtu.be/gFueNwOf5-Q
673,Best VGM 673,Trials of Mana,Powell,SNES,LEVEL,Rabite Forest,Hiroki Kikuta,SNES,1995,https://youtu.be/Zx9iwVTD64g
674,Best VGM 674,Yoshi's Story,On The Beach,N64,LEVEL,World 1-3: Rail Lift / World 3-1: Cloud Cruising,Kazumi Totaka,N64,1998,https://youtu.be/jJt5kWZrNO4
675,Best VGM 675,Threads of Fate,Passing Through The Forest,PS1,LEVEL,Carona Forest,Junya Nakano,PS1,2000,https://youtu.be/R_T9PGeapjI
676,Best VGM 676,Tetris,TYPE B,GB,PLAY,Main Gameplay,Hirokazu Tanaka,Game Boy,1989,https://youtu.be/Hl2Uudo6Qao
677,Best VGM 677,Atelier Iris 2: Azoth of Destiny,To The Underground Tunnel,PS2,LEVEL,Sewer,Ken Nakagawa & Daisuke Achiwa,PS2,2005,https://youtu.be/iJDeYm937is
678,Best VGM 678,Lufia,Boss Battle,SNES,BOSS,Boss Battles,"Naomi Kuroda, Aki Zaitsu & Yasunori Shiono",SNES,1993,https://youtu.be/HvGTsgDKQ5E
679,Best VGM 679,Lost Odyssey,The Wanderer Of Darkness,X360,LEVEL,Burning Cave,Nobuo Uematsu,X360,2007,https://youtu.be/KSMk7r_bZy0
680,Best VGM 680,Fire Emblem: Radiant Dawn,Main Theme,WII,THEME,Main Theme,"Yoshito Hirano, Chika Sekigawa & Naoko Mitome",Wii,2007,https://youtu.be/_7Ftm_UDTj4
681,Best VGM 681,Deus Ex,Underworld,PC,LEVEL,NYC Bar,Alexander Brandon,PC,2001,https://youtu.be/yfcuFrTQqA8
682,Best VGM 682,The Legend of Zelda: Wind Waker,Outset Island,GC,LEVEL,Outset Island,Koji Kondo,GameCube,2003,https://youtu.be/NofV_k5v8PQ
683,Best VGM 683,Legendary Wings,Gorge,NES,LEVEL,Stage 3: Gorge,Manami Matsumae & Yoshihiro Sakaguchi,NES,1988,https://youtu.be/nrJ5yDNSdWI
684,Best VGM 684,Donkey Kong Country: Donkey's Kong Caper,Gangplank Galleon,SNES,BOSS,FINAL BOSS ~ King K. Rool,David Wise,SNES,1994,https://youtu.be/gP-AxAA-7pE
685,Best VGM 685,Heimdall 2,Reflections,AGA,MENU,Item & Weapon Shops,Martin Iveson,Amiga CD32 / DOS,1994,https://youtu.be/WIavGaq1hgI
686,Best VGM 686,Mario Super Stars,Welcome To Booster's Tower,SNES,LEVEL,Booster Tower ~ Lobby,Yoko Shimomura,SNES,1996,https://youtu.be/Gy4nCerQVKQ
687,Best VGM 687,Magna Carta: Crimson Stigmata,The Poet Of Efort,PS2,LEVEL,Maracatte ~ E. Efor,Sung-Woon Jang,PS2,2005,https://youtu.be/57q4qrVfobo
688,Best VGM 688,Parasite Eve,U.B.,PS1,BOSS,FINAL BOSS ~ Ultimate Being,Yoko Shimomura,PS1,1998,https://youtu.be/hy9ugGyO_BY
689,Best VGM 689,Conker's Bad Fur Day,Sloprano,N64,BOSS,The Great Mighty Poo,Robin Beanland,N64,2001,https://youtu.be/Egmm38lXifc
690,Best VGM 690,Final Fantasy,Matoya's Cave,NES,LEVEL,Matoya's Cave / Dwarven Cave / Bahamut's Lair,Nobuo Uematsu,NES,1987,https://youtu.be/kOJETW_EEKM
691,Best VGM 691,Guilty Gear X2,In The Arms Of Death,XBX,THEME,#Reload Edition (Korean Version) ~ Testament,Shin Hae Chul,PS2 / Xbox / PSP / PC,2004,https://youtu.be/mc1sqkVt2DE
692,Best VGM 692,Sands of Destruction,Fallenmine,DS,LEVEL,Fallenmine,Yasunori Mitsuda,DS,2010,https://youtu.be/Tb8Plxm4HXQ
693,Best VGM 693,Mario Kart 64,Staff Credits,N64,SCENE,Staff Credits,Kenta Nagata,N64,1997,https://youtu.be/hrK9MfF6wUg
694,Best VGM 694,3D Dot Game Heroes,The Temple Of Water,PS3,LEVEL,Aqua Temple,"Shinji Hosoe, Ayako Saso, Yousuke Yasui, Shoichiro Sakamoto, Teruo Taniguchi, Takahiro Eguchi & Norihiro Furukawa",PS3,2010,https://youtu.be/mRamiLWK10M
695,Best VGM 695,NieR,The Wretched Automatons,7TH,LEVEL,Junk Heap,"Emi Evans, Keiichi Okabe, kakeru Ishihama, Keigo Hoashi & Takafumi Nishimura",X360 / PS3,2010,https://youtu.be/VMlyI5ndK7U
696,Best VGM 696,Castlevania III: Dracula's Curse,Mad Forest,NES,LEVEL,Sypha Path ~ Stage 2: Mad Forest,"Hidenori Maezawa, Jun Funahashi & Yukie Morimoto",NES,1990,https://youtu.be/eBfVuvwZPcQ
697,Best VGM 697,Street Racer,Title Theme,SNES,MENU,Title Screen,Matt Furniss,SNES,1994,https://youtu.be/auBNccHPRTs
698,Best VGM 698,Shin Megami Tensei III,Musubi,PS2,SCENE,Musubi Ending,Shoji Meguro,PS2,2004,https://youtu.be/8LMidE9zZRA
699,Best VGM 699,Katamari Damacy,The Moon And The Prince,PS2,LEVEL,Make A Star 2,Akitaka Tohyama & Kenji Ninuma,PS2,2004,https://youtu.be/AM07tlO4LO4
700,Best VGM 700,Mega Man 2,Intro,NES,SCENE,Intro,"Manami Matsumae, Yoshihiro Sakaguchi & Ogeretsu Kun",NES,1989,https://youtu.be/31j9k7m8_4A
701,Best VGM 701,Super Mario Galaxy 2,Yoshi Star,WII,LEVEL,Yoshi Star (Sky Station Galaxy),Mahito Yokota,Wii,2010,https://youtu.be/mQ1qyJSpCEg
702,Best VGM 702,Final Fantasy Tactics A2: Grimoire of the Rift,Companions That Surpassed Their Tribes,DS,LEVEL,Traveller's Way (The Yellow Wings!),Hitoshi Sakimoto,DS,2007,https://youtu.be/CSnhb5oQe5Q
703,Best VGM 703,Michael Jackson's Moonwalker,Billie Jean,GEN,LEVEL,Stage 4: Caverns,Michael Jackson & Hiroshi Kubota,Genesis,1990,https://youtu.be/aye9BAimykg
704,Best VGM 704,Chrono Trigger,Tyrano Lair,SNES,LEVEL,Tyrano Lair,Nobuo Uematsu,SNES,1995,https://youtu.be/Nm4JvJe3Srs
705,Best VGM 705,Emil Chronicle,The Last Haven,PC,LEVEL,West Fort City,ACE,PC,2009,https://youtu.be/m-J_t5v13_s
706,Best VGM 706,Revenge of the Smurfs,Creepy & Smelly,NES,LEVEL,Act 3 ~ The Swamps / Act 10 ~ Gargamel's Manor,Alberto Jose Gonzalez,NES,1994,https://youtu.be/fMOW-A8hxfA
707,Best VGM 707,Tales of Symphonia 2,Desert Flower,WII,LEVEL,Triet,Motoi Sakuraba & Shinji Tamura,Wii,2008,https://youtu.be/hPfmAbhWPUU
708,Best VGM 708,Dark Cloud 2,Lunatic Wisdom Laboratory,PS2,LEVEL,Luna Lab,Tomohito Nushiura,PS2,2004,https://youtu.be/Z9tc0WQF8X4
709,Best VGM 709,VVVVVV,Popular Potpourri,PC,SCENE,Ending & Staff Credits,Magnus Palsson,PC / 3DS,2010,https://youtu.be/hJJMddOwqaQ
710,Best VGM 710,Cave Story,Moonsong,PC,LEVEL,Outer Wall,Daisuke Amaya,PC / Wii,2004,https://youtu.be/3qP9xLMVtcY
711,Best VGM 711,Deathsmiles II,Inside The White Darkness,X360,LEVEL,Field E,Manabu Namiki,Arcade / X360,2010,https://youtu.be/rmhdtCPNLpA
712,Best VGM 712,The Legend of Zelda: Twilight Princess,Midna's Desperate Hour,WII,PLAY,Finding Help For The Weakened Midna,Koji Kondo,Wii / GameCube,2006,https://youtu.be/ztg3Bx5Vrys
713,Best VGM 713,Crusader of Centy,Root Temple,GEN,LEVEL,Root Temple,Motokazu Shinoda & Noriyuki Iwadare,Genesis,1994,https://youtu.be/NBVij23_5Is
714,Best VGM 714,Xenogears,"Shevat, The Wind Is Calling",PS1,LEVEL,Old Capital Of Shevat,Yasunori Mitsuda,PS1,1998,https://youtu.be/Zp7kb7oFdeY
715,Best VGM 715,Mega Man X3,Blast Hornet's Stage,SNES,LEVEL,Weapons Factory ~ Blast Hornet's Stage,Kinuyo Yamashita,SNES,1996,https://youtu.be/AWqtxTKerUM
716,Best VGM 716,Grandia,Mullen's Compassion,SAT,THEME,Mullen,Noriyuki Iwadare,PS1 / Saturn,1999,https://youtu.be/NgB7-_V6A14
717,Best VGM 717,Xenoblade,Once We Part Ways,WII,SCENE,Ending,ACE+,Wii,2010,https://youtu.be/JU2TIk0aPoY
718,Best VGM 718,Donkey Kong Country 2: Diddy's Kong Quest,Mining Melancholy,SNES,LEVEL,Kannon's Klaim / Squawks' Shaft / Windy Well,David Wise,SNES,1995,https://youtu.be/SWdZg2WoYKY
719,Best VGM 719,Skies of Arcadia,Uninhabited Island,DC,LEVEL,Crescent Isle ~ Uninhabited,Yutaka Minobe & Takayuki Maeda,Dreamcast / GameCube,2000,https://youtu.be/39RFgo0g6Q4
720,Best VGM 720,Paper Mario: The Thousand-Year Door,Event Battle,GC,BOSS,Miniboss Battles,Yoshito Hirano & Yuka Tsujiyoko,GameCube,2004,https://youtu.be/0tFQEUHXdns
721,Best VGM 721,Street Fighter 6,Vega's Theme,7TH,THEME,Vega,Hideyuki Fukasawa,X360 / PS3 / Arcade / 3DS,2010,https://youtu.be/GS0fMGGu9ew
722,Best VGM 722,Bionic Commando,Harbour,NES,LEVEL,Area 1: Harbour,Junko Tamiya,NES,1988,https://youtu.be/dSD8aSBRk_A
723,Best VGM 723,Final Fantasy VII,Aerith's Theme,PS1,THEME,Aerith Gainsborough,Nobuo Uematsu,PS1,1997,https://youtu.be/gVT6VQc8gJ4
724,Best VGM 724,Granado Espada,Ni Miedo,PC,LEVEL,Island Of Fire,S.F.A,PC,2006,https://youtu.be/p8G2SBsr998
725,Best VGM 725,Super Metroid,"Red Soil, Brinstar",SNES,LEVEL,Brinstar ~ Red Soil Sector,Kenji Yamamoto,SNES,1994,https://youtu.be/wii4b1yHTjI
726,Best VGM 726,The Violinist of Hameln,Inside The Crimson Castle,SNES,LEVEL,Crimson Castle ~ Interior,Y. Mori,SNES,1995,https://youtu.be/GyMETPcdOA0
727,Best VGM 727,Wild Arms 4,Port Ailinton,PS2,LEVEL,Port Rosalia,Masato Kouda,PS2,2006,https://youtu.be/tVXy6y8Uj0A
728,Best VGM 728,Legend of Mana,The Wind Sings A Journey,PS1,LEVEL,The Amazon,Yoko Shimomura,PS1,2000,https://youtu.be/lE7rVqNGIMg
729,Best VGM 729,Kingdom Hearts: Birth By Sleep,Dearly Beloved,PSP,MENU,Title Screen,Yoko Shimomura,PSP,2010,https://youtu.be/oaWYpF3RUtg
730,Best VGM 730,Luigi's Mansion,Main Theme,GC,THEME,Main Theme,Kazumi Totaka & Shinobu Tanaka,GameCube,2001,https://youtu.be/41plKNrlSVg
731,Best VGM 731,Nostalgia,Hanging Gardens Of Babylon,DS,LEVEL,Hanging Gardens Of Babylon,Shinichiro Sato & Rei Kondoh,DS,2009,https://youtu.be/WFL6Q-cPkPQ
732,Best VGM 732,Suikoden II,Heart-Softening Theme C,PS1,SCENE,Yuber escapes after the Party defeats Bone Dragon / Shu asks Kiba to make a Gamble in Upcoming War,Miki Higashino,PS1,1999,https://youtu.be/97ML7Zsx_R4
733,Best VGM 733,NeoTokyo,Tin Soldiers,PC,PLAY,Main Gameplay,Ed Harrison,PC,2009,https://youtu.be/oKU5RsfKEkM
734,Best VGM 734,The Legend of Zelda: Link's Adventure,Title Theme,NES,MENU,Title Screen,Akito Nakatsuka,NES,1988,https://youtu.be/2bsKsJ16rhs
735,Best VGM 735,Dragon Quest IX: Sentinels of the Starry Skies,Heaven's Prayer,DS,LEVEL,The Observatory,Koichi Sugiyama,DS,2009,https://youtu.be/6Z5bkvxlGjk
736,Best VGM 736,Mass Effect,Galaxy Map,7TH,MENU,Galaxy Map,Sam Hulick,X360 / PS3 / PC,2007,https://youtu.be/0xSMD_9NF4w
737,Best VGM 737,Chip 'n' Dale: Rescue Rangers: Kitty Corner,Happy Cat Factory,NES,LEVEL,Zone J: Happy Cat Factory,Soshihiro Sakaguchi,NES,1990,https://youtu.be/gjoIqJ7UXC0
738,Best VGM 738,Resident Evil REmake,Safe Haven,GC,MENU,Save Rooms,Misao Senbongi & Makoto Tomozawa,GameCube / Wii,2002,https://youtu.be/9cGKDSp42Pc
739,Best VGM 739,Ico,Heal,PS2,MENU,Save Screen,Michiru Oshima,PS2,2002,https://youtu.be/iaiD5yqSha0
740,Best VGM 740,Pokémon Diamond / Pearl / Onyx,Galactic Boss Cyrus!,DS,BOSS,Cyrus,Hitomi Sato & Junichi Masuda,DS,2007,https://youtu.be/A__C8529Ciw
741,Best VGM 741,Super Mario Sunshine,Deep Sea Of Mare,GC,LEVEL,Noki Bay ~ Beneath The Waterfall,Koji Kondo & Shinobu Tanaka,GameCube,2002,https://youtu.be/IX7WoBJ_piE
742,Best VGM 742,Outlaws,Anna's Theme,PC,THEME,Anna,Clint Bajakian,PC,1997,https://youtu.be/7rIIGA4ekcM
743,Best VGM 743,Mega Man 6,Wily's Laboratory,NES,LEVEL,Wily's Laboratory (Wily's Stage 3 & 4),Yuko Takehara,NES,1993,https://youtu.be/mSUO9TYsqA4
744,Best VGM 744,Arc The Lad,Arc The Lad,PS1,THEME,Arc Eda Ricolne,Keiichi Oku,PS1,1995,https://youtu.be/AfjoUpceqL4
745,Best VGM 745,Secret of Evermore,Fire Eyes,SNES,LEVEL,Fire Eyes Village,Jeremy Soule,SNES,1995,https://youtu.be/JOHx2rGrSXo
746,Best VGM 746,Parasite Eve 2,Distorted Evolution,PS1,BOSS,FINAL BOSS ~ EVE,Naoshi Mizuta,PS1,2000,https://youtu.be/fDreup9uk-0
747,Best VGM 747,Ristar,Break Silence,GEN,LEVEL,Planet 2: Undertow ~ Act 2,Tomoko Sasaki,Genesis,1995,https://youtu.be/8Q2zVi0ZGNI
748,Best VGM 748,Tekken 6,Yodelling In Meadow Hill,PS3,LEVEL,Hidden Retreat,Keiichi Okabe,PS3 / X360 / Arcade / PSP,2009,https://youtu.be/UmRiSEsDagY
749,Best VGM 749,Kirby's Dream Land,Green Greens,GB,LEVEL,World 1: Green Greens,Jun Ishikawa,Game Boy,1992,https://youtu.be/ipmQypBJqMs
750,Best VGM 750,Final Fantasy VI,Mines Of Narshe,SNES,LEVEL,Mines Of Narshe,Nobuo Uematsu,SNES,1994,https://youtu.be/XionFi_WGI0
751,Best VGM 751,Tomb Raider 2,Main Theme,PS1,THEME,Main Theme,Nathan McCree,PS1 / PC,1997,https://youtu.be/slbk6XsYTdg
752,Best VGM 752,Klonoa: Door To Phantomile,Untamed Heart,PS1,LEVEL,Vision 6-1,Eriko Imura,PS1 / Wii,1998,https://youtu.be/C7JewHMgdaM
753,Best VGM 753,The Legend of Zelda: Link's Awakening,Eagle Tower,GBC,LEVEL,Eagle Tower,"Yuichi Ozaki, Kazumi Totaka, Minako Hamano & Kazue Ishikawa",Game Boy,1993,https://youtu.be/97ouQzLcCm0
754,Best VGM 754,Romancing SaGa: Minstrel Song,A Challenge To God,PS2,BOSS,Four Guardian Kings,Kenji Ito & Tsuyoshi Sekito,PS2,2005,https://youtu.be/MHbNB-BQGb4
755,Best VGM 755,StarFighter 3000,Floating,3DO,PLAY,Main Gameplay,John Avery,3DO / Acorn Archimedes / Saturn / PS1 / PC,1996,https://youtu.be/W9pdCJxo_8w
756,Best VGM 756,Scott Pilgrim VS The World,Another Winter,7TH,LEVEL,Stage 1: Frozen Suburbs,Anamanaguchi,PS3 / X360,2010,https://youtu.be/K0iwUZg-l7k
757,Best VGM 757,Castlevania: Symphony of the Night,Crystal Teardrops,PS1,LEVEL,Underground Caverns,Michiru Yamane,PS1,1997,https://youtu.be/UyhFhqTLuX8
758,Best VGM 758,Dark Void,Main Theme,7TH,THEME,Main Theme,Bear McReary,X360 / PS3 / PC,2010,https://youtu.be/zEmW2B0nPQE
759,Best VGM 759,Mario & Luigi: Partners in Time,Thwomp Volcano,DS,LEVEL,Thwomp Volcano,Yoko Shimomura,DS,2005,https://youtu.be/Jc_xYk83TmA
760,Best VGM 760,Pop'n Music 12,Magical Voice Shower (Short),ARC,PLAY,Magical Voice Shower ~ Short Version,Ucchies,PS2,2004,https://youtu.be/3SBSTVJnPXk
761,Best VGM 761,Mother,Bein' Friends,NES,PLAY,"Navigating the Overworld with Lloyd, Ana and/or Ted in the Party",Keiichi Suzuki / Hirokazu Tanaka,NES,1989,https://youtu.be/SZQ0fWv4SMw
762,Best VGM 762,Final Fantasy X,To Zanarkand,PS2,SCENE,Opening / Reminiscing Zanarkand,Nobuo Uematsu,PS2,2001,https://youtu.be/0QaAc6KqDNA
763,Best VGM 763,Wangan Midnight Maximum Tune 3,Evil Association,ARC,PLAY,Main Gameplay,Yuzo Koshiro,Arcade,2007,https://youtu.be/v2dQtwebRz0
764,Best VGM 764,Dragon Quest III: Seeds of Salvation,Underground Caves,SNES,LEVEL,South Forest Cave / Cave Of Enticement / Underground Lake / Orochi's Cave / Cave Of Ra,Koichi Sugiyama,SNES,1996,https://youtu.be/KkvXgZpQ2eQ
765,Best VGM 765,Total Distortion,You Are Dead,PC,MENU,Game Over,Joe Sparks,PC,1995,https://youtu.be/LTc8MlX0nEY
766,Best VGM 766,Dragon Toads Double Battle,Robo Manus,SNES,LEVEL,Stage 5,David Wise,SNES,1993,https://youtu.be/5sBxpv6OCVk
767,Best VGM 767,The Legend of Zelda: Majora's Mask,Final Hours,N64,PLAY,Last Few Hours Before The Moon Falls,Koji Kondo & Toru Minegishi,N64,2000,https://youtu.be/Cg__MpAnal8
768,Best VGM 768,Galactic Pinball,Moonman's Fandango,VB,THEME,Main Theme,Kenji Yamamoto,Virtual Boy,1995,https://youtu.be/ATo5PbN7sfE
769,Best VGM 769,Emil Chronicle,Song For Battle,PC,LEVEL,Dominion West Plains / Castle Gates / Town Bath House (Special Person Event),ACE,PC,2009,https://youtu.be/jr7XYFskePc
770,Best VGM 770,Bubble Bobble,Main Theme,NES,THEME,Main Theme,Tadashi Kimijima,NES,1988,https://youtu.be/iqx3ESNzw8Q
771,Best VGM 771,Monkey Ball 2,Boiling Pot,GC,LEVEL,World 6: Boiling Pot,Hidenori Shoji & Haruyoshi Tomita,GameCube,2002,https://youtu.be/a_-wI32_J14
772,Best VGM 772,Ape Escape,Hot Springs Peak,PS1,LEVEL,Hot Springs ~ Peak,Soichi Terada,PS1,1999,https://youtu.be/K7_JMWnC64g
773,Best VGM 773,Donkey Kong Country: Donkey's Kong Crew,Monkey Rap,N64,SCENE,Intro,Grant Kirkhope,N64,1999,https://youtu.be/cBP0XrXJBIE
774,Best VGM 774,Earthbound,Twoson,SNES,LEVEL,Twoson,Keiichi Suzuki & Hirokazu Tanaka,SNES,1995,https://youtu.be/-x9GmPE1bZ8
775,Best VGM 775,Infinite Undiscovery,Forbidden Ground,X360,LEVEL,Lunar Sanctuary,Motoi Sakuraba,X360,2008,https://youtu.be/tu7y0VWVxP4
