BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
1,VGM #0001,Pokémon Gold / Silver,Title Screen,Junichi Masuda,Game Boy Color,1999,https://www.youtube.com/watch?v=gjcujhd1ujg
2,VGM #0002,Super Mario Galaxy 2,Sky Station Galaxy,"Mahito Yokota, performed by the Mario Galaxy Orchestra",Wii,2010,https://www.youtube.com/watch?v=xD0tEHiDsdY
3,VGM #0003,Cave Story,On to Grasstown,"Daisuke Amaya ""Pixel""",PC,2004,https://www.youtube.com/watch?v=61oWP1A38N0
4,VGM #0004,Super Smash Bros. Melee,Fountain of Dreams,Jun Ishikawa,GameCube,2001,https://www.youtube.com/watch?v=3RhruudG1uA
5,VGM #0005,HearthStone,Better Hand,Peter McConnell,PC,2014,https://www.youtube.com/watch?v=uCDObG02bFA
6,VGM #0006,Minit,Sharp Business,Jukio Kallio,PC,2018,https://www.youtube.com/watch?v=QMxzcfHyaF0
7,VGM #0007,Professor Layton and the Curious Village,Walking in the Village,Tomohito Nishiura,Nintendo DS,2007,https://www.youtube.com/watch?v=rarT6kdwkR8
8,VGM #0008,TrackMania² Stadium,Tachmania,Professor Kliq,PC,2013,https://www.youtube.com/watch?v=34rVZtSPHQE
9,VGM #0009,The Legend of Zelda: Breath of the Wild,Riding (Night),Manaka Kataoka,"Wii U, Switch",2017,https://www.youtube.com/watch?v=5Ub5Ivktbnc
10,VGM #0010,NieR: Automata,A Beautiful Song,Keigo Hoashi,"PC, PS4",2017,https://www.youtube.com/watch?v=zLMJisWB4vE
11,VGM #0011,Hollow Knight,Hornet,Christopher Larkin,PC,2017,https://www.youtube.com/watch?v=dtz56-o1srA
12,VGM #0012,Animal Crossing: Wild World,2:00 AM,Kazumi Totaka,Nintendo DS,2005,https://www.youtube.com/watch?v=SYOGdN_0Fa4
13,VGM #0013,Nuclear Throne,Nuclear Throne,Jukio Kallio,PC,2015,https://www.youtube.com/watch?v=vdrCRcafM-Q
14,VGM #0014,Phoenix Wright: Ace Attorney,Trial,Masakazu Sugimori,GBA,2001,https://www.youtube.com/watch?v=Camk0AygqBE
15,VGM #0015,Super Smash Bros. Ultimate,Halland / Dalarna,"Johan Johnson, and ""Dalarna"", composed by Peter Hont, from Minecraft Dungeons",Switch,2020,https://www.youtube.com/watch?v=6loh4qOiOMk
