BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
65,Best VGM 065,Soul Calibur III,Water Dance,,"Playstation 2, Arcade",2005,https://www.youtube.com/watch?v=ocP6K7bnXtE
66,Best VGM 066,Banjo-Kazooie,Spiral Mountain,,Nintendo 64,1998,https://www.youtube.com/watch?v=I1fv9nfw_Uo
67,Best VGM 067,Professor Layton and the Last Specter,Theme of the Last Battle,,DS,2011,https://www.youtube.com/watch?v=fURivQbGCHk
68,Best VGM 068,Eternal Sonata,Leap the Precipice,,"Xbox 360, Playstation 3",2007,https://www.youtube.com/watch?v=X9HewbycgTQ
69,,,,,,,
70,Best VGM 070,Cave Story 3D,Plantation,,3DS,2011,https://www.youtube.com/watch?v=gAHZEeA0vT8
71,Best VGM 071,Gotcha Force,Let's Tango!,,GameCube,2003,https://www.youtube.com/watch?v=KKbHfPG8Wwo
72,Best VGM 072,Choujin Sentai Jetman,Area A,,Famicom [Japan Only],1991,https://www.youtube.com/watch?v=joPg2OHsXg4
73,Best VGM 073,Ys: The Oath in Felghana,Illburns Ruins,,PSP,2010,https://www.youtube.com/watch?v=TXeaM9MXMJI
74,,,,,,,
75,Best VGM 075,Mega Man V,Saturn Stage,,Game Boy,1994,https://www.youtube.com/watch?v=BJFgNY-Iuns
76,Best VGM 076,Tenchu Z,Ever Still Moon,,Xbox 360,2007,https://www.youtube.com/watch?v=wjod6nFbfJo
77,Best VGM 077,Journey to Silius,Title Theme,,NES,1990,https://www.youtube.com/watch?v=6YBK_jIigWs
78,,,,,,,
79,Best VGM 079,Bust-A-Move 2: Arcade Edition,Qi Qi,,"Playstation, Saturn",1996,https://www.youtube.com/watch?v=bIGT-ALL8Tk
80,Best VGM 080,Crash Twinsanity,The Evil Twins,,"Playstation 2, Xbox",2004,https://www.youtube.com/watch?v=c2f5xNGLjVc
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,Best VGM 084,Magi Nation,Dream Creature,,Game Boy Color,2001,https://www.youtube.com/watch?v=L6E9O_5j_-Y
85,Best VGM 085,Earthworm Jim 2,Anything But Tangerines,,Saturn,1996,https://www.youtube.com/watch?v=8s94WZA2cCc
86,Best VGM 086,Sonic Generations,Casino Night: Act 2,,3DS,2011,https://www.youtube.com/watch?v=dgjwmU56oiY
87,Best VGM 087,Rabbids Go Home,Bubamara,,Wii,2009,https://www.youtube.com/watch?v=F2KZhBjVZQY
88,,,,,,,
89,,,,,,,
90,Best VGM 090,LittleBigPlanet 3,Racing Against the Sunset,,"Playstation 3, Playstation 4",2014,https://www.youtube.com/watch?v=NDrE2PzRknk
91,Best VGM 091,Robopon 2: Ring/Cross Version,Wild Encounter,,Game Boy Advance,2002,https://www.youtube.com/watch?v=-eHWgk1TxSQ
92,Best VGM 092,Silent Hill 2,Alone in the Town,,Playstation 2,2001,https://www.youtube.com/watch?v=qPYqrCS6KnM
93,,,,,,,
94,Best VGM 094,Rockman & Forte,Magic Man Stage,"Toshihiko Horiyama, Naoshi Mizuta, Akari Kaida",Super Famicom,1998,https://www.youtube.com/watch?v=dqa1R8ydH-Y
95,Best VGM 095,Dungeon Explorer,Ratonix Dungeon,Tsukasa Masuko,TurboGrafix-16,1989,https://www.youtube.com/watch?v=YVfYw-OpFww
