BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
934,Best VGM 934,Phoenix Wright Ace Attorney: Dual Destinies,Bobby Fulbright ~ Our Secret Word is Justice!,Noriyuki Iwadare,3DS,2013,https://www.youtube.com/watch?v=92OqrDhHRIE
935,Best VGM 935,Bomberman '93,Quarry (Planet A),Jun Chikuma,TurboGrafix-16,1993,https://www.youtube.com/watch?v=yVmJ4MznUIQ
936,,,,,,,
937,Best VGM 937,Shin Megami Tensei Persona 2: Innocent Sin,Velvet Room ~ Moonlight,"Toshiko Tasaki, Kenichi Tsuchiya, Masaki Kurokawa",PSP,2011,https://www.youtube.com/watch?v=dAk-Uh08f_U
938,,,,,,,
939,Best VGM 939,Dragon Ball Z: Buu's Fury,H.F.I.L.,Yannis Brown,Game Boy Advance,2004,https://www.youtube.com/watch?v=q3pzbvxL_u8
940,Best VGM 940,Grand Knights History,Fighting Back,"Mitsuhiro Kaneda, Yoshimi Kudo, Noriyuki Kamikura, Masaharu Iwata",PSP [Japan Only],2011,https://www.youtube.com/watch?v=iLaT11mGJd0
941,Best VGM 941,Days Gone,Soldier's Eyes,Nathan Whitehead,Playstation 4,2019,https://www.youtube.com/watch?v=3sxoZQcsFso
942,Best VGM 942,Outer Wilds,Timber Hearth,Andrew Prahlow,"PC, Playstation 4, Playstation 5, Xbox One, Xbox Series X/S",2019,https://www.youtube.com/watch?v=z21oa1FJ9tA
943,Best VGM 943,Treasures of the Deep,Wreck of the Conception,Tommy Tallarico,Playstation,1997,https://www.youtube.com/watch?v=RgOXqp4cJjA
944,,,,,,,
945,,,,,,,
946,Best VGM 946,Metal Gear Solid 2: Sons of Liberty,Arms Depot,"Norihiko Hibino, Harry Gregson-Williams",Playstation 2,2001,https://www.youtube.com/watch?v=BmRnIclQLYs
947,Best VGM 947,Banjo-Tooie,Jinjo Village,Grant Kirkhope,Nintendo 64,2000,https://www.youtube.com/watch?v=O2PgZ-eN2TA
948,Best VGM 948,Castlevania: The Dracula X Chronicles,Ghost Ship Painting,"Michiru Yamane, Masanori Akita, Yuichi Tsuchiya,",PSP,2008,https://www.youtube.com/watch?v=tnktD9hE57s
949,Best VGM 949,Senran Kagura: Shinovi Versus,Renegade's Hideout,"Mutsumi Ishimura, AkiHee Motoyama",PS Vita/PC,2014,https://www.youtube.com/watch?v=yqKDl3GvaPM
950,Best VGM 950,Sonic Forces,Infinite,"Tomoya Ohtani, Naofumi Hataya, Kenichi Tokoi, Takahito Eguchi","Playstation 4, Xbox One, Switch, PC",2017,https://www.youtube.com/watch?v=YHAWUQxiEA4
951,Best VGM 951,The Legend of Heroes: Zero no Kiseki,Inevitable Struggle,"Kanako Kotera, Atsushi Enomoto, Kotarow Hatanaka, Akiko Nagano",PSP (Japan Only),2014,https://www.youtube.com/watch?v=HwapSGwNak8
952,Best VGM 952,No More Heroes 2: Desperate Struggle,Hurry Home,"Akira Yamaoka, Jun Fukuda",Wii,2010,https://www.youtube.com/watch?v=Cj08Dsk4Mwc
953,Best VGM 953,Don't Starve,Ragtime,"Vince de Vera, Jason Garner","PC, Playstation 3, Playstation 4, PS Vita, Xbox One, Wii U, Switch",2013,https://www.youtube.com/watch?v=VNk5f3igrZs
954,Best VGM 954,Rhapsody: A Musical Adventure,Mother's Lullaby,Tenpei Sato,"Playstation, DS",2000,https://www.youtube.com/watch?v=P5Qu8cQB-18
955,,,,,,,
956,Best VGM 956,Story of Seasons,Spring,"Riyo Kinugasa, Noriko Ishida",3DS,2015,https://www.youtube.com/watch?v=kbtM_eT_kvE
957,Best VGM 957,Shin Megami Tensei: Nocturne,Staff Roll,"Shoji Meguro, Toshiko Tasaki, Kenichi Tsuchiya",Playstation 2,2004,https://www.youtube.com/watch?v=RQFq1ecgeMU
958,,,,,,,
959,Best VGM 959,Wolverine: Adamantium Rage,Title Screen,Dylan Beale,SNES,1994,https://www.youtube.com/watch?v=CcdquiUeaqk
960,Best VGM 960,Sneakers,Title Menu,Yoshikazu Kamata,Xbox,2002,https://www.youtube.com/watch?v=0Qt1dO5uZOw
961,Best VGM 961,Mega Man X Command Mission,Final Battle,"Shinya Okada, Yuko Komiyama, Seiko Kobuchi","GameCube, Xbox",2004,https://www.youtube.com/watch?v=IvgRgSPmgwo
962,Best VGM 962,Dragon Ball Z Super Gokuden:  Totsugeki-Hen,Determination,Kenshi Yamamoto,Super Famicom [Japan Only],1995,https://www.youtube.com/watch?v=9dR0LH0BxNA
963,Best VGM 963,Grand Theft Auto: Liberty City Stories,Main Theme,Craig Conner,"PSP, Playstation 2",2005,https://www.youtube.com/watch?v=sgqWoUjwIo0
964,Best VGM 964,Warframe,We All Lift Together,"Keith Power, George Spanos","PC, Playstation 4, Xbox One, Switch",2013,https://www.youtube.com/watch?v=A01CoGaSL0A
965,Best VGM 965,Sonic Lost World,Honeycomb Highway,"Tomoya Ohtani, Takahito Eguchi","Wii U, PC",2013,https://www.youtube.com/watch?v=q5Mf1bM7i0s
966,Best VGM 966,Pac 'n Roll,Gyro Jungle,"Etsuo Ishii, Yoshinori Kawamoto",DS,2005,https://www.youtube.com/watch?v=UBcl-k1E9yA
967,,,,,,,
968,Best VGM 968,We Love Katamari,Disco Prince,"Yuu Miyake, Hiroshi Okubo, Hideki Tobeta, Asuka Sakai, Akitaka Tohyama, Yuri Misumi, Katsuro Tajima, Yoshihito Yano, Tomoki Kanda, Jun Kamoda",Playstation 2,2005,https://www.youtube.com/watch?v=unAYjMi7SpM
969,,,,,,,
970,Best VGM 970,Halo 3: ODST,The Menagerie,"Martin O'Donnell, Michael Salvatori",Xbox 360,2009,https://www.youtube.com/watch?v=YWOZR-aRDIw
971,,,,,,,
972,,,,,,,
973,Best VGM 973,Gyakuten Kenji 2,Ray Shields ~ How About a Hug?,Noriyuki Iwadare,DS [Japan Only],2011,https://www.youtube.com/watch?v=Lvu3_gVZyUw
974,,,,,,,
975,Best VGM 975,The Incredible Machine 3,New Age,"LoudMouth Productions, Jan Paul Moorhead",PC,1995,https://www.youtube.com/watch?v=zxYVRqiUsLA
976,Best VGM 976,Metal Gear Solid 4: Guns of the Patriots,Father & Son,"Harry Gregson-Williams, Nobuko Toda,",Playstation 3,2008,https://www.youtube.com/watch?v=1HDULD_GxIw
977,,,,,,,
978,,,,,,,
979,Best VGM 979,Jak and Daxter: The Precursor Legacy,Fire Canyon,Josh Mancell,Playstation 2,2001,https://www.youtube.com/watch?v=lfLtqbzJng8
980,,,,,,,
981,Best VGM 981,Uncharted 4: A Thief's End,A Thief's End,Henry Jackman,Playstation 4,2016,https://www.youtube.com/watch?v=N-aEzWeekGM
982,,,,,,,
983,Best VGM 983,Hotline Miami 2: Wrong Number,Le Perv,Various Artists,"PC, Playstation 3, Playstation 4, Playstation Vita, Switch",2015,https://www.youtube.com/watch?v=NnsxHVKWYNI
984,,,,,,,
985,Best VGM 985,Super Monkey Ball: Step & Roll,World 3 - Chimpan Sea,"Tomoya Ohtani, Mariko Nanba",Wii,2010,https://www.youtube.com/watch?v=Xy9oedACOfY
986,Best VGM 986,Heroes of Might and Magic IV,Hope,"Paul Romero, Rob King, Steve Baca, Paul James",PC,2002,https://www.youtube.com/watch?v=IYl5brdVeV4
987,Best VGM 987,Beyond: Two Souls,My Imaginary Friend,Lorne Balfe,"Playstation 3, Playstation 4, PC",2013,https://www.youtube.com/watch?v=msAKSuNdxKM
988,Best VGM 988,Okamiden,Southern Ryoshima Coast,Rei Kondoh,DS,2011,https://www.youtube.com/watch?v=AGNr2F1WgV0
989,,,,,,,
990,,,,,,,
991,Best VGM 991,Wild Arms 3,The Scenery Called Everyday,Michiko Naruke,Playstation 2,2002,https://www.youtube.com/watch?v=q3AX7iTuXho
992,Best VGM 992,Star Wars: Republic Commando,Dha Werda Verda,Jesse Harlin,"Xbox, PC",2005,https://www.youtube.com/watch?v=Q64wRZINWcs
993,Best VGM 993,The Legend of Dragoon,Shana's Theme,"Dennis Martin, Takeo Miratsu",Playstation,2000,https://www.youtube.com/watch?v=sFvVL__UoqM
994,Best VGM 994,"Rayman Origins [2011 (PS3, X360, Wii)/2012 (Vita, PC, 3DS)",Sea of Serendipity ~ Lums of the Water,"Christophe Heral, Billy Martin","Playstation 3, Xbox 360, Wii, Vita, PC, 3DS",2011,https://www.youtube.com/watch?v=wVTXKI1TBi0
995,Best VGM 995,Blaster Master,Level 2,Naoki Kodaka,NES,1988,https://www.youtube.com/watch?v=RZbiUdA6riM
996,Best VGM 996,Harvest Moon: Animal Parade,Spring (Night),"Yasufumi Fukuda, Hideaki Miyamoto",Wii,2009,https://www.youtube.com/watch?v=UTdu9Bd7El0
997,Best VGM 997,Sid Meier's Civilization III,Smash,Roger Briggs,PC,2001,https://www.youtube.com/watch?v=95RrT6rhH48
998,Best VGM 998,Tales of Xillia,A Mountain Village in the Dawn,Motoi Sakuraba,Playstation 3,2013,https://www.youtube.com/watch?v=qasfWEPz0SI
999,Best VGM 999,"999: Nine Hours, Nine Persons, Nine Doors",Binary Game,Shinji Hosoe,DS,2010,https://www.youtube.com/watch?v=dNnvxIZzBOA
1000,,,,,,,
1001,,,,,,,
1002,Best VGM 1002,Killer Instinct,Main Theme,"Robin Beanland, Graeme Norgate","Arcade, SNES",1994,https://www.youtube.com/watch?v=LEfe_NZjgXk
1003,Best VGM 1003,Shadow Hearts: From the New World,Fate ~ The Wheel of Fortune,"Yoshitaka Hirota, Tomoko Imoto, Ryo Fukuda",PS2,2006,https://www.youtube.com/watch?v=Ur_rbBpJcp4
1004,Best VGM 1004,Mary Skelter: Nightmares,Soldier of the Wind,Yoshihiro Kawagoe,PS Vita,2017,https://www.youtube.com/watch?v=ZioXZLJTc48
1005,Best VGM 1005,Dark Souls,Firelink Shrine,Motoi Sakuraba,"Playstation 3, Xbox 360",2011,https://www.youtube.com/watch?v=TGCkUS9-Cs4
1006,Best VGM 1006,WarTech: Senko no Ronde,Limitless Cinderella,Yasuhisa Watanabe,Xbox 360,2007,https://www.youtube.com/watch?v=SmBnCbmvCOQ
1007,Best VGM 1007,Dragon Ball Z: Ultimate Battle 22,Hikari no Will Power,Kenji Yamamoto,Playstation,2003,https://www.youtube.com/watch?v=OUST1Bo2v-c
1008,Best VGM 1008,Star Wars: Knights of the Old Republic,The Old Republic Theme,Jeremy Soule,"PC, Xbox",2003,https://www.youtube.com/watch?v=I6pxW7Dn-I4
1009,,,,,,,
1010,Best VGM 1010,Inazuma Eleven Go: Chrono Stones Wildfire/Thunderflash,Battle! Fighting Spirit,"Yasunori Mitsuda, Natsumi Kameoka",3DS (Japan & Europe Only),2012,https://www.youtube.com/watch?v=E-GIvpgcHTg
1011,,,,,,,
1012,,,,,,,
1013,Best VGM 1013,3-D WorldRunner,Stage Theme,Nobuo Uematsu,NES,1987,https://www.youtube.com/watch?v=JBzprXyQ5CA
1014,Best VGM 1014,Halo 2,Flawed Legacy,"Martin O'Donnell, Michael Salvatori","Xbox, PC",2004,https://www.youtube.com/watch?v=0FkeESaHYM8
1015,Best VGM 1015,Junction,Ocean BGM,Shaka,Genesis,1990,https://www.youtube.com/watch?v=IdBjQrBJYMk
1016,Best VGM 1016,Dungeon Master II: Skullkeep,The Endless Rain,"Allister Brimble, Rick Jackson, Brian Luzietti",Sega CD,1995,https://www.youtube.com/watch?v=FCLlIFx8ZRI
1017,Best VGM 1017,Sonic Adventure/Sonic Adventure DX: Director's Cut,Welcome to Station Square,"Jun Senoue, Fumie Kumatani, Kenichi Tokoi,","Dreamcast, GameCube, PC",,https://www.youtube.com/watch?v=2Dt8xDg_BYk
1018,Best VGM 1018,Ridge Racer 6,Floodlight,Sanodg + Various Artists,Xbox 360,2005,https://www.youtube.com/watch?v=ru01tSgn_Zg
1019,Best VGM 1019,Dustforce,Elvish Piper Academy,Terence Lee,"PC, Vita, Playstation 3, Xbox 360",2012,https://www.youtube.com/watch?v=sdvwiR1w4G4
1020,Best VGM 1020,Space Station Silicon Valley,The Battery Farm,Stuart Ross,Nintendo 64,1998,https://www.youtube.com/watch?v=TLQ69Abyois
1021,Best VGM 1021,Sega Ages: Phantasy Star Collection,Backup Memory,Izuho Takeuchi,Saturn (Japan Only),1998,https://www.youtube.com/watch?v=_8yFzxFCKvs
1022,Best VGM 1022,Banjo-Kazooie: Grunty's Revenge,Underwater,"Jamie Hughes, Grant Kirkhope, Robin Beanland",Game Boy Advance,2003,https://www.youtube.com/watch?v=tMQbdWhRdOE
1023,,,,,,,
1024,Best VGM 1024,The Bugs Bunny Birthday Blowout,World 6,Hiroyuki Masuno,NES,1990,https://www.youtube.com/watch?v=KEy8Bw1NVN0
1025,Best VGM 1025,Okage: Shadow King,Sewer Dungeon,"Jun-Ichi Doi, Takamitsu Kajikawa, Yoshikazu Kawatani, Toda Kazuhide, Toshiaki Murata",Playstation 2,2001,https://www.youtube.com/watch?v=-0gqnUlCmvw
1026,,,,,,,
1027,Best VGM 1027,Clock Tower,Scissorman,Kouji Niikura,Playstation,1997,https://www.youtube.com/watch?v=_bpAgRhdUeQ
1028,Best VGM 1028,Illbleed,The Park,Yukinori Kikuchi,Dreamcast,2001,https://www.youtube.com/watch?v=DgK096Oe4nY
1029,Best VGM 1029,Jack Bros.,Temple of Nightmare,Hiroyuki Yanada,Virtual Boy,1995,https://www.youtube.com/watch?v=BRFOljGgoPw
1030,Best VGM 1030,The Sims 3: Supernatural,Loading Screen,"Steve Jablonsky, Pieter A. Schlosser",PC,2012,https://www.youtube.com/watch?v=Dg0xPSU5hMU
1031,Best VGM 1031,ClayFighter 63 1/3,Happy Harry's Hut,"Richard Band, Rick Jackson",Nintendo 64,1997,https://www.youtube.com/watch?v=7i5T4-Hh1x8
1032,Best VGM 1032,The Adventures of Batman & Robin,Perchance to Scream,Konami Kukeiha Club,SNES,1994,https://www.youtube.com/watch?v=d-05ehOvupk
1033,,,,,,,
1034,Best VGM 1034,Earthworm Jim: Special Edition,What the Heck!?,Tommy Tallarico,Sega CD,1995,https://www.youtube.com/watch?v=7lF1RkZBFoc
1035,Best VGM 1035,Lufia: Curse of the Sinistrals,Battlefield ~ Battle #1,"Yasunori Shiono, Tomoko Morita, Yukio Nakajima",DS,2010,https://www.youtube.com/watch?v=dFmxTxMjWKI
1036,Best VGM 1036,Trauma Team,Resurgam First Care,"Atsushi Kitajoh, Ryota Koduka, Shoji Meguro",Wii,2010,https://www.youtube.com/watch?v=6e92gf6tO0s
1037,Best VGM 1037,Mega Man Network Transmission,Game Center (ColorMan's Stage),"Shinji Hosoe, Ayako Saso, Yousuke Yasui",GameCube,2003,https://www.youtube.com/watch?v=aCZL4g9l9Y4
1038,Best VGM 1038,Dead or Alive Xtreme 3: Fortune,Baby Dry Your Eyes,"MASA, Mari Yoshida, Kosuke Mizukami",Playstation 4 (Japan Only),2016,https://www.youtube.com/watch?v=N5yozJnSST8
1039,,,,,,,
1040,Best VGM 1040,Tangledeep,Clash With a Mighty Foe (Boss Theme 2),"Andrew Aversa, Hiroki Kikuta, Grant Kirkhope, Norihiko Hibino","PC, Switch",2018,https://www.youtube.com/watch?v=kUFoQW7v7ZE
1041,,,,,,,
1042,,,,,,,
1043,,,,,,,
1044,,,,,,,
1045,Best VGM 1045,Untitled Goose Game,The Garden,Dan Golding,"PC, Switch",2019,https://www.youtube.com/watch?v=m26UIfmY_hE
1046,Best VGM 1046,Apollo Justice: Ace Attorney,Pressing Pursuit ~ Cornered,"Toshihiko Horiyama, Hideki Okugawa",DS,2008,https://www.youtube.com/watch?v=iDYbXCYHSFM
1047,Best VGM 1047,Tekken Revolution,"Blood, Sweat and Fists (Character Selection)","Taku Inoue, Rio Hamamoto, Shinji Hosoe",Playstation 3,2013,https://www.youtube.com/watch?v=GQPm41ao1YQ
1048,,,,,,,
1049,Best VGM 1049,Halo 5: Guardians,Kamchatka,Kazuma Jinnouchi,Xbox One,2015,https://www.youtube.com/watch?v=wY-Qz5S8mqQ
1050,Best VGM 1050,LocoRoco 2,LocoRoco Song,"Nobuyuki Shimizu, Kemmei Adachi",PSP,2008,https://www.youtube.com/watch?v=gYfgIkTVZ_o
1051,Best VGM 1051,Tearaway,The Orchard,"Kenneth C M Young, Brian D'Oliveira",Vita,2013,https://www.youtube.com/watch?v=pB67Mpn0SQs
1052,,,,,,,
1053,,,,,,,
1054,Best VGM 1054,Silent Hill: Shattered Memories,Hell Frozen Rain,Akira Yamaoka,"Wii, Playstation 2, PSP",2009,https://www.youtube.com/watch?v=aDv79a532og
1055,Best VGM 1055,Yo-Kai Watch 3 (2019],St. Peanutsburg - Northbeech District,Kenichiro Saigo,3DS,,https://www.youtube.com/watch?v=FIv_g625JgY
1056,Best VGM 1056,The Sims 2,Makeover,Mark Mothersbaugh,PC,2004,https://www.youtube.com/watch?v=rT7EoeLV5aE
1057,Best VGM 1057,Tomba!,Village of All Beginnings,Harumi Fujita,Playstation,1998,https://www.youtube.com/watch?v=s4xcY5F-6D8
1058,Best VGM 1058,Feel the Magic: XY/XX,Main Menu,"Naofumi Hataya, Tomoko Sasaki, Mariko Nanba",DS,2004,https://www.youtube.com/watch?v=LUrQtbuvsy4
1059,Best VGM 1059,Resonance of Fate,Etsia [B],"Motoi Sakuraba, Kohei Tanaka","Xbox 360, Playstation 3",2010,https://www.youtube.com/watch?v=h4-29dMYKZs
1060,Best VGM 1060,Mega Man V,Uranus Stage,Kouji Murata,Game Boy,1994,https://www.youtube.com/watch?v=rixJJAjx7uY
1061,Best VGM 1061,Harvest Moon: Hero of Leaf Valley,Summer,Unknown,PSP,2010,https://www.youtube.com/watch?v=8yN90Z1Y3JI
1062,Best VGM 1062,Smile for Me,The Apartments,Lucas Saur,PC,2019,https://www.youtube.com/watch?v=rlG8Bp3hn8s
1063,,,,,,,
1064,Best VGM 1064,SkyGunner,Fresh Hand,Mayuko Kagesita,Playstation 2,2002,https://www.youtube.com/watch?v=EL2lG98sW3Q
1065,,,,,,,
1066,Best VGM 1066,Rhythm Thief & the Emperor's Treasure,Throwdown with Napoleon,"Tomoya Ohtani, Naofumi Hataya, Takahito Eguchi",3DS,2012,https://www.youtube.com/watch?v=7rxsXagGU_Y
1067,,,,,,,
1068,Best VGM 1068,The Last of Us,Main Theme,Gustavo Santaolalla,Playstation 3,2013,https://www.youtube.com/watch?v=nL34_WbUBaA
1069,Best VGM 1069,Mega Man Star Force: Leo/Pegasus/Dragon,Final Battleground,"Yoshino Aoki, Mitsuhiko Takano",DS,2007,https://www.youtube.com/watch?v=079cAA59ebw
1070,,,,,,,
1071,Best VGM 1071,Arcana,Decisive Battle,"Jun Ishikawa, Hirokazu Ando",SNES,1992,https://www.youtube.com/watch?v=yRKCysl6c60
1072,Best VGM 1072,Phantasy Star III: Generations of Doom,Shop,Izuho Numata,Genesis,1991,https://www.youtube.com/watch?v=yrFrIgxeZOQ
1073,Best VGM 1073,Roller Coaster Tycoon 3,Galaxy Trooper,Alistair Lindsay,PC,2004,https://www.youtube.com/watch?v=tf-_KMkvdRo
1074,Best VGM 1074,Sonic 3D Blast,Rusty Ruin Zone (Act 1),Richard Jacques,Saturn,1996,https://www.youtube.com/watch?v=ik1CyVAwThs
1075,Best VGM 1075,Neo Contra,Armageddon,Sota Fujimori,Playstation 2,2004,https://www.youtube.com/watch?v=rDlhwRgIeBU
1076,,,,,,,
1077,Best VGM 1077,Super Monkey Ball 3D,World 5 - Dragon's Journey,"Hideki Naganuma, Keiichi Sugiyama, Yutaka Akiyama, Chiho Kobayashi",3DS,2011,https://www.youtube.com/watch?v=umq7kM7PSWA
1078,Best VGM 1078,Fur Fighters,New Quack City,"Mike Pummell, Simon Robertson, Stephen Root, Nelson Everhart",Dreamcast,2000,https://www.youtube.com/watch?v=Xwh2RLxjtCE
1079,Best VGM 1079,Snowboard Kids Plus,Big Snowman,"Isao Kasai, Tomohiko Satou",Playstation [Japan Only],1999,https://www.youtube.com/watch?v=PDAJbwtEPko
1080,,,,,,,
1081,Best VGM 1081,"The Elder Scrolls V: Skyrim [2011 (PS3, X360, PC)/2016 (PS4, XBOne)/2017 (Switch)",The Streets of Whiterun,Jeremy Soule,"Playstation 3, Playstation 4, Xbox 360, Xbox One, Switch, PC",2011,https://www.youtube.com/watch?v=XTQsWLeCgxU
1082,,,,,,,
1083,Best VGM 1083,ClayFighter,Fort Frosty,"Brain Luzietti, Mitchell Stein",SNES,1993,https://www.youtube.com/watch?v=ooIfqkRj3Ho
1084,Best VGM 1084,Jazz Jackrabbit 2,A Cold Day in Heck,Alexander Brandon,PC,1998,https://www.youtube.com/watch?v=Gr3rPw0QPis
1085,,,,,,,
1086,Best VGM 1086,Tales of the Abyss,The Silvery Snowland - Keterburg,"Motoi Sakuraba, Shinji Tamura, Motoo Fujiwara","Playstation 2, 3DS",2006,https://www.youtube.com/watch?v=fKdPhSlqJIM
1087,Best VGM 1087,Panzer Dragoon Orta,Eternal Glacies,"Saori Kobayashi, Yutaka Minobe",Xbox,2003,https://www.youtube.com/watch?v=Iw3Pkbr2g_w
1088,Best VGM 1088,Professor Layton and the Azran Legacy,The Silver Peaks of Froenborg,Tomohito Nishiura,3DS,2014,https://www.youtube.com/watch?v=sjriu_ZQAIg
1089,,,,,,,
1090,Best VGM 1090,Sea of Thieves,Bossun Bill,Robin Beanland,"Xbox One, PC",2018,https://www.youtube.com/watch?v=RB_7UfNP67w
1091,,,,,,,
1092,Best VGM 1092,Gremlins 2: The New Batch,The Office,Naoki Kodaka,NES,1990,https://www.youtube.com/watch?v=ddCUdNVLclA
1093,Best VGM 1093,The Simpsons: Hit & Run,Better Than Beef,"Marc Baril, Jeff Tymoschuk, Allan Levy","GameCube, Playstation 2, Xbox, PC",2003,https://www.youtube.com/watch?v=mRmUSALyFi8
1094,,,,,,,
1095,Best VGM 1095,A Boy and His Blob,The Moon Forest,Daniel Sadowski,Wii,2009,https://www.youtube.com/watch?v=vM2lg7q5OoY
1096,,,,,,,
1097,Best VGM 1097,Breath of Fire: Dragon Quarter,Ranger Base,Hitoshi Sakimoto,Playstation 2,2003,https://www.youtube.com/watch?v=633w-I1PQ8Y
1098,Best VGM 1098,Grandia,Sea Cat Restaurant Lily,Noriyuki Iwadare,Playstation,1999,https://www.youtube.com/watch?v=9dawYpBbze0
1099,Best VGM 1099,Project X Zone,Stairs of Time,"Naofumi Tsuruyama, Takuya Hanaoka, Kayoko Matsushima",3DS,2013,https://www.youtube.com/watch?v=Rcw2yYKeesA
1100,Best VGM 1100,Harvest Moon: Friends of Mineral Town,Mineral Town,Ai Yamashita,Game Boy Advance,2003,https://www.youtube.com/watch?v=Qiyy18daWvI
1101,Best VGM 1101,Crusader of Centy,Tower of Babel,Motokazu Shinoda,Genesis,1994,https://www.youtube.com/watch?v=Qyzs1XYANh8
1102,Best VGM 1102,Radical Rex,Forest,Marshall Parker,Sega CD,1994,https://www.youtube.com/watch?v=9njQTfBtJuc
1103,,,,,,,
1104,Best VGM 1104,Celeste,Scattered and Lost,Lena Raine,"PC, Switch, Playstation 4, Xbox One",2018,https://www.youtube.com/watch?v=Z3xnv1ChKLA
1105,Best VGM 1105,The Legend of the Mystical Ninja,Oedo ~ Goemon's Home,"Kazuhiko Uehara, Harumi Ueko",SNES,1992,https://www.youtube.com/watch?v=DT-Ncfqs12M
1106,Best VGM 1106,Glover,"Atlantis Realm, Level 2","Rob Lord, Paul Weir, Mark Bandola",Nintendo 64,1998,https://www.youtube.com/watch?v=acbnmw5JdIk
1107,,,,,,,
1108,Best VGM 1108,Wild Arms 4,In the Cold Iron Box,Michiko Naruke,Playstation 2,2004,https://www.youtube.com/watch?v=aDP8H3QwJbw
1109,Best VGM 1109,Metal Slug 4,Furiously,Toshikazu Tanaka,Neo Geo,2002,https://www.youtube.com/watch?v=HLlfBCJRLW8
1110,Best VGM 1110,Darkstalkers 3,Vanity Paradise,"Takayuki Iwai, Masato Kouda",Playstation/Arcade,1997,https://www.youtube.com/watch?v=cizJA0lCl5g
1111,Best VGM 1111,Radiant Historia,Unending Clear Blue Sky,Yoko Shimomura,DS,2011,https://www.youtube.com/watch?v=ScSPFRD6FoM
1112,Best VGM 1112,Super Hang-On,Outride a Crisis,"Katsuhiro Hayashi, Koichi Namiki",Genesis,1989,https://www.youtube.com/watch?v=FSpq6m4dQWM
1113,Best VGM 1113,NiGHTS: Journey of Dreams,Crystal Choir - Labyrinth Guide,"Tomoko Sasaki, Naofumi Hataya",Wii,2007,https://www.youtube.com/watch?v=8TSp6ZPA-Kw
1114,Best VGM 1114,Dragon Slayer: Eiyuu Densetsu II,Field,"Mieko Ishikawa, Atsushi Shirakawa",PC Engine (Japan Only),1993,https://www.youtube.com/watch?v=5dV5mqrJDDU
1115,Best VGM 1115,Plants vs. Zombies: Garden Warfare,Thing of it Is,Peter McConnell,"Xbox 360, Xbox One, Playstation 3, Playstation 4, PC",2014,https://www.youtube.com/watch?v=Pe4DQHA5SvE
1116,Best VGM 1116,Sid Meier's Civilization,City Menu,Jeffery L. Briggs,SNES,1991,https://www.youtube.com/watch?v=SsAb8la_HNU
1117,,,,,,,
1118,,,,,,,
1119,Best VGM 1119,Sly Cooper and the Thievius Raccoonus,Sinking Peril,Ashif Hakik,Playstation 2,2002,https://www.youtube.com/watch?v=XJrJHQ-MfVY
1120,,,,,,,
1121,Best VGM 1121,Street Fighter Alpha 3,Simple Rating (Theme of Karin),"Takayuki Iwai, Yuki Iwai, Isao Abe, Hideki Okugawa, Tetsuya Shibata","Playstation, Arcade, Dreamcast",1998,https://www.youtube.com/watch?v=Ir3B7k8b-cY
1122,Best VGM 1122,LittleBigPlanet,Get it Together!,"Kenneth C M Young, Mat Clark, Daniel Pemberton",Playstation 3,2008,https://www.youtube.com/watch?v=YKZEn43QBew
1123,Best VGM 1123,Dynamite Headdy,South Town,"Kouji Kitatani, Katsuhiko Suzuki",Genesis,1994,https://www.youtube.com/watch?v=XGcA8DJA4AQ
1124,,,,,,,
1125,Best VGM 1125,Sonic Adventure 2/Sonic Adventure 2: Battle,Chao Garden,"Jun Senoue, Kenichi Tokoi, Fumie Kumatani, Tomoya Ohtani",Dreamcast/GameCube,2001,https://www.youtube.com/watch?v=MsvQuYfdwkk
1126,Best VGM 1126,ToeJam & Earl: Back in the Groove,Back in the Groove,"Cody Wright, Nick Stubblefield","Playstation 4, Xbox One, Switch, PC",2019,https://www.youtube.com/watch?v=oJkzchR1FbM
1127,Best VGM 1127,Pocky & Rocky,The Forbidden Castle,Hiroyuki Iwatsuki,SNES,1993,https://www.youtube.com/watch?v=1fABSIuYH38
1128,,,,,,,
1129,Best VGM 1129,Sonic the Fighters,Fire Stone,Maki Morrow; Takenobu Mitsuyoshi,"Arcade, Xbox 360, Playstation 3",1996,https://www.youtube.com/watch?v=B_37WZZNsxI
1130,Best VGM 1130,Okami,Shinshu Field,"Masami Ueda, Hiroshi Yamaguchi, Rei Kondoh,","Playstation 2, Wii",2006,https://www.youtube.com/watch?v=0tFzgHdqOPE
1131,,,,,,,
1132,Best VGM 1132,Crash Bandicoot 2: Cortex Strikes Back,"Crash Bash, Crash Crush, Un-bearable",Josh Mancell,Playstation,1997,https://www.youtube.com/watch?v=pq5T722hD44
1133,Best VGM 1133,1503 A.D.: The New World,Sunny Place,Alexander Roder,PC,2003,https://www.youtube.com/watch?v=lpjwPNPmIco
1134,,,,,,,
1135,Best VGM 1135,Bayonetta 2,Alraune - Whisperer of Dementia,"Masami Ueda, Naofume Harada, Hiroshi Yamaguchi,","Wii U, Switch",2014,https://www.youtube.com/watch?v=t2Ek5wbuBvI
1136,Best VGM 1136,Shinobi,Transfiguration,"Yasuhiro Kawakami, Teruhiko Nakagawa, Tatsuyuki Maeda,",Playstation 2,2002,https://www.youtube.com/watch?v=YFol7uAKEi4
