SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
582,Mystic Quest,Mystic Quest,Boss Battle,SNES,BOSS,Boss Battles,,
583,Super Mario Bros. WII,Super Mario Bros. WII,Volcano,WII,LEVEL,World 8: Volcano,,
584,Castlevania: Curse of Darkness,Castlevania: Curse of Darkness,Mortvia Fountain,PS2,LEVEL,Mortvia Fountain,,
585,Steven Spielberg's The Flintstones: The Game,Steven Spielberg's The Flintstones: The Game,Unused Song 2,SNES,THEME,Unused,,
586,Shadow of the Colossus,Shadow of the Colossus,The Opened Way,PS2,BOSS,Valus / Gaius / Phaedra / Argus,,
587,Glover,Glover,Atlantis: STAGE 1,N64,LEVEL,World 1: Atlantis ~ Stage 1,,
588,Shadow of the Beast,Shadow of the Beast,Eerie Forests,TGCD,LEVEL,Forest Stages,,
589,Final Fantasy IX,Final Fantasy IX,Dark Messenger,PS1,BOSS,FINAL BOSS ~ Trance Kuja,,
590,Mario Kart,Mario Kart,Rainbow Road,SNES,LEVEL,Rainbow Road,,
591,Wild Arms 4,Wild ARMs 4,For The Sake Of One Flower,PS2,SCENE,Sad Scenes / Forsaken Road ~ The Party recover after escaping Ciel's Destruction,,
592,Shadow Hearts: From the New World,Shadow Hearts III,Alcatraz,PS2,LEVEL,Alcatraz,,
593,Teenage Mutant Ninja Turtles: Turtles in Time,Teenage Mutant Ninja Turtles: Turtles in Time,Alleycat Blues,SNES,LEVEL,Scene 2: Alleycat Blues,,
594,Metal Gear Solid,Metal Gear Solid,Psycho Mantis' Hymn,PS1,THEME,Psycho Mantis,,
595,Jazz Jackrabbit 2,Jazz Jackrabbit 2,Pull Back The Bass,PC,THEME,Bonus Theme After Quitting The Game,,
596,Silver Surfer: Threat From Beyond,Silver Surfer: Threat From Beyond,Reptyl's Stage,NES,LEVEL,Reptyl's Stage,,
597,Treasure Hunter G,Treasure Hunter G,"Just Like The Mountain, He Will Not Move",SNES,LEVEL,Abnoba Range,,
598,Mario Super Stars,Mario Super Stars,Going Shopping In Seaside Town,SNES,LEVEL,Seaside Town,,
599,Streets of Fury,Streets of Fury,Excuse,PC,LEVEL,Underground Subway Interlude,,
600,Castlevania,Castlevania,Vampire Killer,NES,LEVEL,Stage 1,,
601,Ecco: Defender of the Future,Ecco: Defender of the Future,Dolphin's Intrigue,DC,LEVEL,Pathways From Nowhere,,
602,Chrono Trigger,Chrono Trigger,Memories Of Green,SNES,MENU,1000 A.D. ~ World Map,,
603,Treasure of the Rudras,Treasure of the Rudras,The Spirit Chaser,SNES,THEME,Surlent The Archaeologist,,
604,Silent Hill: Shattered Memories,Silent Hill: Shattered Memories,When You're Gone,WII,SCENE,Intro,,
605,Sonic Unleashed,Sonic Unleashed,Dragon Road: DAY,7TH,LEVEL,Dragon Road ~ Hedgehog's Act (Day),,
606,Donkey Kong Country 2: Diddy's Kong Quest,DK Country 2: Diddy's Kong Quest,In A Snow-Bound Land,SNES,LEVEL,Arctic Abyss / Clapper's Cavern / Black Ice Battle,,
607,Metroid Prime,Metroid Prime,"Icy Shorelines, Phendrana Drifts",GC,LEVEL,Phendrana Drifts ~ Icy Shorelines Sector,,
608,World of Warcraft,World of Warcraft,Mountains Of Thunder,PC,LEVEL,Wrath of the Lich King Expansion ~ Storm Peaks,,
609,Banjo-Kazooie,Banjo-Kazooie,Freezeezy Peak,N64,LEVEL,Freezeezy Peak,,
610,Mega Man 2,Mega Man 2,Flash Man's Stage,NES,LEVEL,Flash Man's Stage,,
611,Secret of Evermore,Secret of Evermore,Queen Bluegarden,SNES,LEVEL,Ebon Keep ~ Castle Throne Room,,
612,Shin Megami Tensei: Digital Devil Saga,Shin Megami Tensei: Digital Devil Saga,Muladhara,PS2,LEVEL,Junkyard ~ Muladhara,,
613,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,Lost Woods,SNES,LEVEL,Lost Woods,,
614,Shatter,Shatter,Kinetic Harvest,PS3,LEVEL,World 1: Kinetic Harvest,,
615,Dragon Toads Double Battle,Dragon Toads Double Battle,Rat Ship,SNES,LEVEL,Stage 4,,
616,Final Fantasy XI,Final Fantasy XI,Sanctuary Of Zi'Tah,PS2,LEVEL,Sanctuary Of Zi'Tah,,
617,Shatterhand,Shatterhand,Submarine (US),NES,LEVEL,Area C ~ Submarine ~ North American & European Versions,,
618,Plok,Plok,Creepy Crag,SNES,LEVEL,World 2: Akrillic ~ Stage 6: Creepy Crag,,
619,3D Dot Game Heroes,3D Dot Game Heroes,Go To The Wilderness,PS3,LEVEL,Desert Overworld,,
620,Chrono Cross,Chrono Cross,Arni Village: HOME WORLD,PS1,LEVEL,Home World ~ Arni Village,,
621,Illusion of Gaia,Illusion of Gaia,In The Earthen Womb,SNES,SCENE,Tower of Babel ~ Will finally meets his Father,,
622,Xenosaga Episode III: Also Sprach Zarathrustra,Xenosaga III: Also Sprach Zarathrustra,Godsibb,PS2,BOSS,Omega Metempsychosis,,
623,Super Mario Land 2,Super Mario Land 2,Athletic,GBC,LEVEL,Kingdom Stages,,
624,Nostalgia,Nostalgia,Tokyo,DS,LEVEL,Tokyo,,
625,Wild Arms,Wild ARMs,Migrant Bird Of The Wilderness,PS1,THEME,Rudy Roughknight,,
626,Romancing SaGa: Minstrel Song,Romancing SaGa: Minstrel Song,Minuet,PS2,SCENE,Opening,,
627,Final Fantasy VIII,Final Fantasy VIII,The Man With The Machine Gun,PS1,THEME,Laguna Loire,,
628,Ace Combat 6: Fires of Liberation,Ace Combat 6: Fires of Liberation,The Liberation Of Gracemeria,X360,LEVEL,Mission 13: The Liberation Of Gracemeria,,
629,F-Zero,F-Zero,Mute City,SNES,LEVEL,Mute City Circuits,,
630,Super Adventure Island,Super Adventure Island,Essential Vitamins,SNES,LEVEL,Underwater Stages,,
631,Trine,Trine,Fangle Forest,PS3,LEVEL,Fangle Forest,,
632,Balloon Fight,Balloon Fight,Balloon Trip,NES,PLAY,Balloon Trip (Bonus Game),,
633,Mother 3,Mother 3,Hippos,GBA,LEVEL,Empire Porky Building ~ Hippo Launcher Room,,
634,Mana Khemia: Alchemists of Al-Revis,Mana Khemia: Alchemists of Al-Revis,Nefertiti,PS2,BOSS,Isolde,,
635,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,Deep Shrine,N64,LEVEL,Deep Shrine (Water Temple),,
636,Phantasy Star Portable 2,Phantasy Star Portable 2,Fly To Universe,PSP,SCENE,Emilia's True Ending ~ Epilogue (Post-Credits),,
637,Emil Chronicle,Emil Chronicle,Under The Pressure,PC,LEVEL,A Dungeon Theme (I don't know which one though),,
638,Bomberman Quest,Bomberman Quest,Field Zone,GBC,LEVEL,Field Zone,,
639,Secret of Mana,Secret of Mana,Distant Thunder,SNES,LEVEL,Field (Overworld),,
640,Enthusia Professional Racing,Enthusia Professional Racing,AWAKENING (Nürburgring Suite),PS2,LEVEL,Nurburgring Nordschleife (Final Level),,
641,Mario & Luigi: Bowser's Inside Story,Mario & Luigi: Bowser's Inside Story,We Have Fury!,DS,BOSS,FINAL BOSS ~ Dark Bowser,,
642,Journey to Silius,Journey to Silius,Headquarters,NES,LEVEL,Stage 3: Headquarters,,
643,No More Heroes 2: Desperate Struggle,No More Heroes 2: Desperate Struggle,Philistine,WII,BOSS,Margaret Moonlight,,
644,Dragon Quest III: Seeds of Salvation,Dragon Quest III: Seeds of Salvation,Heavenly Flight,SNES,MENU,World Map ~ Flying,,
645,Ragnarok Online,Ragnarok Online,Geffen,PC,LEVEL,Geffen City,,
646,Asterix and the Solo Rescue,Asterix and the Solo Rescue,Egypt,NES,LEVEL,World 3: Egypt,,
647,Disgaea: Hour of Darkness,Disgaea: Hour of Darkness,Running Fire,PS2,LEVEL,Episode 2: Frozen River,,
648,Suikoden III,Suikoden III,Bine Del Zecks,PS2,LEVEL,Vinay Del Zexay,,
649,Super Mario Bros. 3,Super Mario Bros. 3,Kingdom,NES,LEVEL,Kingdom Stages,,
650,Kirby's Crystal Shards,Kirby's Crystal Shards,Factory Investigation,N64,LEVEL,World 5: Shiver Star ~ Stage 4,,
651,Tsugunai,Tsugunai,Early Afternoon In The Village,PS2,LEVEL,Walondia ~ Day,,
652,Mega Man 11,Mega Man 11,Abandoned Memory,8TH,LEVEL,Wily's Castle (Wily's Stage 1 & 2),,
653,Final Fantasy XIV,Final Fantasy XIV,Nail Of The Heavens,PC,PLAY,Masked Carnivale ~ Enemy Battles,,
654,Arcana,Arcana,Second Armageddon,SNES,BOSS,FINAL BOSS ~ Rimsala (2nd Phase),,
655,Pokémon Colosseum 2,Pokémon Colosseum 2,Miror B. Battle!,GC,BOSS,Miror B.,,
656,F-Zero GX,F-Zero GX,Iron Tiger,GC,THEME,Baba,,
657,Terranigma,Terranigma,Evergreen Forest,SNES,LEVEL,Evergreen Forest,,
658,Metal Gear 2: Solid Snake,Metal Gear 2: Solid Snake,Solid Snake,MSX,THEME,Solid Snake,,
659,Crystal Chronicles: The Crystal Bearers,Crystal Chronicles: The Crystal Bearers,Subterranean Ruins,WII,LEVEL,Subterranean Ruins,,
660,Skyblazer,Skyblazer,Lair Of Kharyon,SNES,LEVEL,Stage 9: Lair Of Kharyon,,
661,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin,In Search Of The Secret Spell,DS,LEVEL,Forgotten City B,,
662,Kingdom Hearts II,Kingdom Hearts II,Darkness Of The Unknown,PS2,BOSS,FINAL BOSS ~ World of Nothingness,,
663,Sonic Rush,Sonic Rush,Wrapped In Black,DS,BOSS,FINAL BOSS ~ BREAK Salamander,,
664,Crystalis,Crystalis,Wild Fields,NES,LEVEL,Overworld,,
665,Metroid Hunters,Metroid Hunters,"Main World, Arcterra",DS,LEVEL,Arcterra ~ Main World Sector,,
666,Doom,Doom,At Doom's Gate,PC,LEVEL,E1M1,,
667,JESUS: The Dreadful Bio-Monster,JESUS: The Dreadful Bio-Monster,Main Theme,MSX,THEME,Main Theme,,
668,Wild Arms 2,Wild ARMs 2,Town Where The West Wind Blows,PS1,LEVEL,Meria Village,,
669,Panzer Dragoon Saga,Panzer Dragoon Saga,Sona Mi Areru Ec Sancitu,SAT,SCENE,Staff Credits,,
670,Earthbound,Mother 2,Onett,SNES,LEVEL,Onett,,
671,Shin Megami Tensei: Last Bible III,Shin Megami Tensei: Last Bible III,Polisian States,SNES,MENU,World Map,,
672,The Neverhood,The Neverhood,Klaymen's Theme,PC,THEME,Klaymen,,
673,Trials of Mana,Trials of Mana,Powell,SNES,LEVEL,Rabite Forest,,
674,Yoshi's Story,Yoshi's Story,On The Beach,N64,LEVEL,World 1-3: Rail Lift / World 3-1: Cloud Cruising,,
675,Threads of Fate,Threads of Fate,Passing Through The Forest,PS1,LEVEL,Carona Forest,,
676,Tetris,Tetris,TYPE B,GB,PLAY,Main Gameplay,,
677,Atelier Iris 2: Azoth of Destiny,Atelier Iris 2: Azoth of Destiny,To The Underground Tunnel,PS2,LEVEL,Sewer,,
678,Lufia,Lufia,Boss Battle,SNES,BOSS,Boss Battles,,
679,Lost Odyssey,Lost Odyssey,The Wanderer Of Darkness,X360,LEVEL,Burning Cave,,
680,Fire Emblem: Radiant Dawn,Fire Emblem: Radiant Dawn,Main Theme,WII,THEME,Main Theme,,
681,Deus Ex,Deus Ex,Underworld,PC,LEVEL,NYC Bar,,
682,The Legend of Zelda: Wind Waker,The Legend of Zelda: Wind Waker,Outset Island,GC,LEVEL,Outset Island,,
683,Legendary Wings,Legendary Wings,Gorge,NES,LEVEL,Stage 3: Gorge,,
684,Donkey Kong Country: Donkey's Kong Caper,DK Country: Donkey's Kong Caper,Gangplank Galleon,SNES,BOSS,FINAL BOSS ~ King K. Rool,,
685,Heimdall 2,Heimdall 2,Reflections,AGA,MENU,Item & Weapon Shops,,
686,Mario Super Stars,Mario Super Stars,Welcome To Booster's Tower,SNES,LEVEL,Booster Tower ~ Lobby,,
687,Magna Carta: Crimson Stigmata,Magna Carta: Crimson Stigmata,The Poet Of Efort,PS2,LEVEL,Maracatte ~ E. Efor,,
688,Parasite Eve,Parasite Eve,U.B.,PS1,BOSS,FINAL BOSS ~ Ultimate Being,,
689,Conker's Bad Fur Day,Conker's Bad Fur Day,Sloprano,N64,BOSS,The Great Mighty Poo,,
690,Final Fantasy,Final Fantasy,Matoya's Cave,NES,LEVEL,Matoya's Cave / Dwarven Cave / Bahamut's Lair,,
691,Guilty Gear X2,Guilty Gear X2,In The Arms Of Death,XBX,THEME,#Reload Edition (Korean Version) ~ Testament,,
692,Sands of Destruction,Sands of Destruction,Fallenmine,DS,LEVEL,Fallenmine,,
693,Mario Kart 64,Mario Kart 64,Staff Credits,N64,SCENE,Staff Credits,,
694,3D Dot Game Heroes,3D Dot Game Heroes,The Temple Of Water,PS3,LEVEL,Aqua Temple,,
695,NieR,NieR,The Wretched Automatons,7TH,LEVEL,Junk Heap,,
696,Castlevania III: Dracula's Curse,Castlevania III: Dracula's Curse,Mad Forest,NES,LEVEL,Sypha Path ~ Stage 2: Mad Forest,,
697,Street Racer,Street Racer,Title Theme,SNES,MENU,Title Screen,,
698,Shin Megami Tensei III,Shin Megami Tensei III,Musubi,PS2,SCENE,Musubi Ending,,
699,Katamari Damacy,Katamari Damacy,The Moon And The Prince,PS2,LEVEL,Make A Star 2,,
700,Mega Man 2,Mega Man 2,Intro,NES,SCENE,Intro,,
701,Super Mario Galaxy 2,Super Mario Galaxy 2,Yoshi Star,WII,LEVEL,Yoshi Star (Sky Station Galaxy),,
702,Final Fantasy Tactics A2: Grimoire of the Rift,Final Fantasy A-3,Companions That Surpassed Their Tribes,DS,LEVEL,Traveller's Way (The Yellow Wings!),,
703,Michael Jackson's Moonwalker,Michael Jackson's Moonwalker,Billie Jean,GEN,LEVEL,Stage 4: Caverns,,
704,Chrono Trigger,Chrono Trigger,Tyrano Lair,SNES,LEVEL,Tyrano Lair,,
705,Emil Chronicle,Emil Chronicle,The Last Haven,PC,LEVEL,West Fort City,,
706,Revenge of the Smurfs,Revenge of the Smurfs,Creepy & Smelly,NES,LEVEL,Act 3 ~ The Swamps / Act 10 ~ Gargamel's Manor,,
707,Tales of Symphonia 2,Tales of Symphonia 2,Desert Flower,WII,LEVEL,Triet,,
708,Dark Cloud 2,Dark Cloud 2,Lunatic Wisdom Laboratory,PS2,LEVEL,Luna Lab,,
709,VVVVVV,VVVVVV,Popular Potpourri,PC,SCENE,Ending & Staff Credits,,
710,Cave Story,Cave Story,Moonsong,PC,LEVEL,Outer Wall,,
711,Deathsmiles II,Deathsmiles II,Inside The White Darkness,X360,LEVEL,Field E,,
712,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,Midna's Desperate Hour,WII,PLAY,Finding Help For The Weakened Midna,,
713,Crusader of Centy,Crusader of Centy,Root Temple,GEN,LEVEL,Root Temple,,
714,Xenogears,Xenogears,"Shevat, The Wind Is Calling",PS1,LEVEL,Old Capital Of Shevat,,
715,Mega Man X3,Mega Man X3,Blast Hornet's Stage,SNES,LEVEL,Weapons Factory ~ Blast Hornet's Stage,,
716,Grandia,Grandia,Mullen's Compassion,SAT,THEME,Mullen,,
717,Xenoblade,Xenoblade,Once We Part Ways,WII,SCENE,Ending,,
718,Donkey Kong Country 2: Diddy's Kong Quest,DK Country 2: Diddy's Kong Quest,Mining Melancholy,SNES,LEVEL,Kannon's Klaim / Squawks' Shaft / Windy Well,,
719,Skies of Arcadia,Skies of Arcadia,Uninhabited Island,DC,LEVEL,Crescent Isle ~ Uninhabited,,
720,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,Event Battle,GC,BOSS,Miniboss Battles,,
721,Street Fighter 6,Street Fighter 6,Vega's Theme,7TH,THEME,Vega,,
722,Bionic Commando,Bionic Commando,Harbour,NES,LEVEL,Area 1: Harbour,,
723,Final Fantasy VII,Final Fantasy VII,Aerith's Theme,PS1,THEME,Aerith Gainsborough,,
724,Granado Espada,Granado Espada,Ni Miedo,PC,LEVEL,Island Of Fire,,
725,Super Metroid,Metroid Destruction,"Red Soil, Brinstar",SNES,LEVEL,Brinstar ~ Red Soil Sector,,
726,The Violinist of Hameln,The Violinist of Hameln,Inside The Crimson Castle,SNES,LEVEL,Crimson Castle ~ Interior,,
727,Wild Arms 4,Wild ARMs 4,Port Ailinton,PS2,LEVEL,Port Rosalia,,
728,Legend of Mana,Legend of Mana,The Wind Sings A Journey,PS1,LEVEL,The Amazon,,
729,Kingdom Hearts: Birth By Sleep,Kingdom Hearts: Birth By Sleep,Dearly Beloved,PSP,MENU,Title Screen,,
730,Luigi's Mansion,Luigi's Mansion,Main Theme,GC,THEME,Main Theme,,
731,Nostalgia,Nostalgia,Hanging Gardens Of Babylon,DS,LEVEL,Hanging Gardens Of Babylon,,
732,Suikoden II,Suikoden II,Heart-Softening Theme C,PS1,SCENE,Yuber escapes after the Party defeats Bone Dragon / Shu asks Kiba to make a Gamble in Upcoming War,,
733,NeoTokyo,NeoTokyo,Tin Soldiers,PC,PLAY,Main Gameplay,,
734,The Legend of Zelda: Link's Adventure,The Legend of Zelda: Link's Adventure,Title Theme,NES,MENU,Title Screen,,
735,Dragon Quest IX: Sentinels of the Starry Skies,Dragon Quest IX: Sentinels of the Starry Skies,Heaven's Prayer,DS,LEVEL,The Observatory,,
736,Mass Effect,Mass Effect,Galaxy Map,7TH,MENU,Galaxy Map,,
737,Chip 'n' Dale: Rescue Rangers: Kitty Corner,Chip 'n' Dale: Rescue Rangers: Kitty Corner,Happy Cat Factory,NES,LEVEL,Zone J: Happy Cat Factory,,
738,Resident Evil REmake,Resident Evil REmake,Safe Haven,GC,MENU,Save Rooms,,
739,Ico,Ico,Heal,PS2,MENU,Save Screen,,
740,Pokémon Diamond / Pearl / Onyx,Pokémon Diamond / Pearl / Onyx,Galactic Boss Cyrus!,DS,BOSS,Cyrus,,
741,Super Mario Sunshine,Super Mario Sunshine,Deep Sea Of Mare,GC,LEVEL,Noki Bay ~ Beneath The Waterfall,,
742,Outlaws,Outlaws,Anna's Theme,PC,THEME,Anna,,
743,Mega Man 6,Mega Man 6,Wily's Laboratory,NES,LEVEL,Wily's Laboratory (Wily's Stage 3 & 4),,
744,Arc The Lad,Arc The Lad,Arc The Lad,PS1,THEME,Arc Eda Ricolne,,
745,Secret of Evermore,Secret of Evermore,Fire Eyes,SNES,LEVEL,Fire Eyes Village,,
746,Parasite Eve 2,Parasite Eve 2,Distorted Evolution,PS1,BOSS,FINAL BOSS ~ EVE,,
747,Ristar,Ristar,Break Silence,GEN,LEVEL,Planet 2: Undertow ~ Act 2,,
748,Tekken 6,Tekken 6,Yodelling In Meadow Hill,PS3,LEVEL,Hidden Retreat,,
749,Kirby's Dream Land,Kirby's Dream Land,Green Greens,GB,LEVEL,World 1: Green Greens,,
750,Final Fantasy VI,Final Fantasy VI,Mines Of Narshe,SNES,LEVEL,Mines Of Narshe,,
751,Tomb Raider 2,Tomb Raider 2,Main Theme,PS1,THEME,Main Theme,,
752,Klonoa: Door To Phantomile,Klonoa: Door To Phantomile,Untamed Heart,PS1,LEVEL,Vision 6-1,,
753,The Legend of Zelda: Link's Awakening,The Legend of Zelda: Link's Awakening,Eagle Tower,GBC,LEVEL,Eagle Tower,,
754,Romancing SaGa: Minstrel Song,Romancing SaGa: Minstrel Song,A Challenge To God,PS2,BOSS,Four Guardian Kings,,
755,StarFighter 3000,StarFighter 3000,Floating,3DO,PLAY,Main Gameplay,,
756,Scott Pilgrim VS The World,Scott Pilgrim VS The World,Another Winter,7TH,LEVEL,Stage 1: Frozen Suburbs,,
757,Castlevania: Symphony of the Night,Castlevania: Symphony of the Night,Crystal Teardrops,PS1,LEVEL,Underground Caverns,,
758,Dark Void,Dark Void,Main Theme,7TH,THEME,Main Theme,,
759,Mario & Luigi: Partners in Time,Mario & Luigi: Partners in Time,Thwomp Volcano,DS,LEVEL,Thwomp Volcano,,
760,Pop'n Music 12,Pop'n Music 12,Magical Voice Shower (Short),ARC,PLAY,Magical Voice Shower ~ Short Version,,
761,Mother,Mother,Bein' Friends,NES,PLAY,"Navigating the Overworld with Lloyd, Ana and/or Ted in the Party",,
762,Final Fantasy X,Final Fantasy X,To Zanarkand,PS2,SCENE,Opening / Reminiscing Zanarkand,,
763,Wangan Midnight Maximum Tune 3,Wangan Midnight Maximum Tune 3,Evil Association,ARC,PLAY,Main Gameplay,,
764,Dragon Quest III: Seeds of Salvation,Dragon Quest III: Seeds of Salvation,Underground Caves,SNES,LEVEL,South Forest Cave / Cave Of Enticement / Underground Lake / Orochi's Cave / Cave Of Ra,,
765,Total Distortion,Total Distortion,You Are Dead,PC,MENU,Game Over,,
766,Dragon Toads Double Battle,Dragon Toads Double Battle,Robo Manus,SNES,LEVEL,Stage 5,,
767,The Legend of Zelda: Majora's Mask,The Legend of Zelda: Majora's Mask,Final Hours,N64,PLAY,Last Few Hours Before The Moon Falls,,
768,Galactic Pinball,Galactic Pinball,Moonman's Fandango,VB,THEME,Main Theme,,
769,Emil Chronicle,Emil Chronicle,Song For Battle,PC,LEVEL,Dominion West Plains / Castle Gates / Town Bath House (Special Person Event),,
770,Bubble Bobble,Bubble Bobble,Main Theme,NES,THEME,Main Theme,,
771,Monkey Ball 2,Monkey Ball 2,Boiling Pot,GC,LEVEL,World 6: Boiling Pot,,
772,Ape Escape,Ape Escape,Hot Springs Peak,PS1,LEVEL,Hot Springs ~ Peak,,
773,Donkey Kong Country: Donkey's Kong Crew,DK Country: Donkey's Kong Crew,Monkey Rap,N64,SCENE,Intro,,
774,Earthbound,Mother 2,Twoson,SNES,LEVEL,Twoson,,
775,Infinite Undiscovery,Infinite Undiscovery,Forbidden Ground,X360,LEVEL,Lunar Sanctuary,,
776,Castle Crashers,Castle Crashers,Factory,X360,BOSS,Barbarian,,
777,Pokémon Bronze / Silver / Gold,Pokémon Bronze / Silver / Gold,Lucky Channel,GBC,PLAY,Listening to the Lucky Channel on the Radio / Goldenrod Game Corner,,
778,Final Fantasy VIII,Final Fantasy VIII,Breezy,PS1,LEVEL,Balamb Town,,
779,Beyond Good And Evil,Beyond Good And Evil,Hylian Suite,6TH,LEVEL,Hyllis (Overworld),,
780,Castlevania: Return of Dracula,Castlevania: Return of Dracula,Simon Belmont's Theme,SNES,THEME,Simon Belmont,,
781,Persona 3,Persona 3,Time [PSP],PSP,PLAY,Female Protagonist ~ Exploring Gekkoukan High School: First Semester,,
782,Machinarium,Machinarium,The Robot Band Song,PC,PLAY,The Town ~ Listening to the Robot Band's Performance,,
783,Mega Man 11,Mega Man 11,Cybersheep's Dream,8TH,LEVEL,Sheep Man's Stage,,
784,Legaia 2,Legaia 2,Tanza,PS2,LEVEL,Tanza,,
785,Mickey Mouse's Magical Quest,Mickey Mouse's Magical Quest,Dark Forest,SNES,LEVEL,Stage 2: Dark Forest,,
786,Kirby's Epic Yarn,Kirby's Epic Yarn,Cool Cave,WII,LEVEL,World 2: Linen Lineage ~ Stage 3: Cool Cave,,
787,Pokémon Black / White,Pokémon Black / White,Route 10,DS,LEVEL,Route 10,,
788,Bayonetta,Bayonetta,After Burner (Climax Mix),7TH,PLAY,Chapter 8: Route 666 ~ Motorcycle Chase,,
789,Minecraft,Minecraft,Cat,PC,PLAY,Main Gameplay,,
790,Mario Super Stars,Mario Super Stars,Beware The Forest's Mushrooms,SNES,LEVEL,Forest Maze,,
791,Batman: Return of the Joker,Batman: Return of the Joker,Ending,NES,SCENE,Ending & Credits,,
792,Star Ocean II: The Second Story,Star Ocean II: The Second Story,Weathercock,PS1,LEVEL,Salva Town (Day),,
793,Heroes Of Might & Magic III,Heroes Of Might & Magic III,Rampart Town,PC,MENU,Rampart Town,,
794,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,Zora's Domain,N64,LEVEL,Zora's Domain,,
795,LOST CHILD,LOST CHILD,Deserter,PC,THEME,"Most likely a Character's Theme, but I have no information on the Game's Cast",,
796,Ragnarok Online,Ragnarok Online,Labyrinth,PC,LEVEL,Labyrinth Forest,,
797,Deathsmiles,Deathsmiles,Burning Halloween Town,ARC,LEVEL,Stage A-1,,
798,Adventures of Mana,Adventures of Mana,Endless Battlefield,GB,MENU,World Map,,
799,Green Lantern: The Cancelled SNES Game,Green Lantern: The Cancelled SNES Game,High Score,SNES,MENU,High Score,,
800,Sonic the Hedgehog,Sonic the Hedgehog,Green Hills,GEN,LEVEL,Green Hills,,
801,Wild Arms,Wild ARMs,The Princess-Sorceress' Feelings,PS1,THEME,Cecilia Adlehyde,,
802,ActRaiser,ActRaiser,Birth Of The People,SNES,PLAY,Managing Your Town,,
803,Dr. Mario,Dr. Mario,Fever,NES,PLAY,Main Gameplay,,
804,Blue Dragon,Blue Dragon,Ruined Village,X360,LEVEL,Talta Village,,
805,Phoenix Wright: Ace Attorney,Ace Attorney: Phoenix Wright,Cornered,GBA,PLAY,Closer to the Truth ~ Culprit's Crimes are about to be unveiled,,
806,Cheetahmen 2,Cheetahmen 2,Main Theme,NES,THEME,Main Theme,,
807,Gran Turismo 4,Gran Turismo 4,Horizon,PS2,MENU,Pre-Race Adjustments & Options,,
808,Final Fantasy IV,Final Fantasy IV,The Dreadful Four Fiends,SNES,BOSS,Four Fiends,,
809,Donkey Kong Country: Donkey's Kong Caper,DK Country: Donkey's Kong Caper,DK Island Swing,SNES,LEVEL,Jungle Hijinxs / Ropey Rampage / Barrel Cannon Canyon / Orang-utan Gang,,
810,Prop Cycle,Prop Cycle,Cliff Rock,ARC,LEVEL,Cliff Rock,,
811,Super Mario Bros.,Super Mario Bros.,Underwater,NES,LEVEL,Underwater Stages,,
812,Opoona,Opoona,Holy Island,WII,LEVEL,Sanctuary,,
813,Castlevania: Dawn of Sorrow,Castlevania: Dawn of Sorrow,Subterranean Hell,DS,LEVEL,Subterranean Hell,,
814,Shatter,Shatter,Freon World,PS3,LEVEL,World 5: Freon World,,
815,StarFox,StarFox,Fortuna,SNES,LEVEL,Fortuna,,
816,Massive Assault,Massive Assault,Wasserland,PC,LEVEL,Wasserland,,
817,NieR,NieR,Temple Of Drifting Sands,7TH,LEVEL,Barren Temple,,
818,Mother 3,Mother 3,Love,GBA,THEME,Hinawa,,
819,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,Kakariko Is Saved,WII,SCENE,Kakariko Village ~ Colin Wakes Up After The Battle with Lord Bullbo,,
820,DuckTales,DuckTales: The World's Richest Duck,Transylvania,NES,LEVEL,Transylvania,,
821,Intelligent Qube,Intelligent Qube,Healing Light,PS1,SCENE,Kurushi Final Expansion ~ Ending,,
822,Mega Man ZX5,Mega Man ZX5,C'est Notre Espoir,DS,LEVEL,Area D: Highway,,
823,Sonic Colour Rush,Sonic Colour Rush,Planet Wisp: MAP,WII,MENU,Planet Wisp ~ World Map,,
824,Ar Tonelico: Melody of Elemia,Ar Tonelico: Melody of Elemia,Valkyrja,PS2,,,,
825,Chrono Trigger,Chrono Trigger,Frog's Theme,SNES,THEME,Frog,,
826,Resident Evil 4,Resident Evil 4,Serenity,GC,THEME,The Merchant,,
827,We ♥ Katamari,We ♥ Katamari,Disco ★ Prince,PS2,LEVEL,Feeding Sumo,,
828,Secret of Mana,Secret of Mana,A Wish,SNES,LEVEL,Crystal Forest,,
829,Pokémon Diamond / Pearl / Onyx,Pokémon Diamond / Pearl / Onyx,Snowpoint City: DAY,DS,LEVEL,Snowpoint City ~ Day,,
830,Earthbound,Mother 2,Snowman,SNES,LEVEL,Winters ~ Snow Wood Boarding School (Jeff's Dormitory),,
831,Emil Chronicle,Emil Chronicle,Alone In The Snowstorm,PC,LEVEL,North Cape / North Plateau / North Mountain / Eternal North Boundary,,
832,Mario Kart 64,Mario Kart 64,Frappe Snowland,N64,LEVEL,Frappe Snowland / Sherbet Land,,
