SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
57,Skies of Arcadia,Skies of Arcadia,All Hands On Land!,DC,PLAY,On-Foot ~ Enemy Battles,,
58,Tales of Eternia,Tales of Eternia,Mintche,PS1,LEVEL,Mintche,,
59,Super Mario Galaxy,Super Mario Galaxy,Battlerock Barge,WII,LEVEL,Battlerock Barge (Battlerock Galaxy),,
60,Mega Turrican,Mega Turrican,Bionic Action,GEN,LEVEL,Stage 1-1,,
61,Senko no Ronde,Senko no Ronde,Limitless Cinderella,X360,THEME,Cuilan ~ PHASE A,,
62,Chrono Trigger,Chrono Trigger,Corridors Of Time,SNES,LEVEL,Kingdom Of Zeal,,
63,Pilotwings 64,PilotWings Vista,Hang Glider,N64,PLAY,Hang Glider,,
64,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,Faron Woods,WII,LEVEL,Faron Woods,,
65,Wild Arms: Alter Code F,Wild ARMs: Alter Code F,Puzzles,PS2,PLAY,Solving Puzzles,,
66,Mega Man 2,Mega Man 2,Bubble Man's Stage,NES,LEVEL,Bubble Man's Stage,,
67,Extreme-G,Extreme-G,Up To The Velocity,N64,LEVEL,City Tracks,,
68,The Elder Scrolls IV: Oblivion,The Elder Scrolls IV: Oblivion,Wings Of Kynareth,7TH,PLAY,Exploring The Overworld,,
69,Persona 3,Persona 3,Mass Destruction,PS2,PLAY,Enemy Battles,,
70,Terranigma,Terranigma,Crysta,SNES,LEVEL,Crysta,,
71,Donkey Kong Country 2: Diddy's Kong Quest,DK Country 2: Diddy's Kong Quest,Stickerbush Symphony,SNES,LEVEL,Bramble Blast / Bramble Scramble,,
72,Shadow Hearts: Covenant,Shadow Hearts II,Hardcore To The Brain,PS2,BOSS,Japan ~ Boss Battles,,
73,Dragon Quest VIII: Journey of the Cursed King,Dragon Quest VIII: Journey of the Cursed King,Marching Through The Fields,PS2,MENU,World Map,,
74,Xenosaga Episode II: Jenseits von Gut und Böse,Xenosaga II: Jenseits von Gut und Böse,Second Miltia,PS2,LEVEL,Second Miltia,,
75,Wild Arms,Wild ARMs,Into The Wilderness,PS1,SCENE,Intro,,
76,Earthbound,Mother 2,Porky Means Business!,SNES,BOSS,FINAL BOSS ~ Porky,,
77,Beyond Good And Evil,Beyond Good And Evil,Funky Akuda Bar,6TH,THEME,"Unused ~ Originally the Akuda Bar Theme, but was changed presumably for being too racy",,
78,Suikoden II,Suikoden II,Gothic Neclord,PS1,BOSS,Neclord,,
79,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin,Hail From The Past,DS,LEVEL,Sandy Grave,,
80,Final Fantasy IV,Final Fantasy IV,Boss Battle,SNES,BOSS,Boss Battles,,
81,Deep Labyrinth,Deep Labyrinth,Azure Cavern,DS,LEVEL,Azure Cavern,,
82,The Legend of Zelda: Wind Waker,The Legend of Zelda: Wind Waker,Dragon Roost,GC,LEVEL,Dragon Roost,,
83,Donkey Kong Country 2: Diddy's Kong Quest,DK Country 2: Diddy's Kong Quest,Bayou Boogie,SNES,LEVEL,Barrel Bayou / Krockhead Klamber / Mudhole Marsh,,
